,actions,next_state,start,positions,rewards,possibility
218.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[2943.0, 7058.0, 3724.0, 1473.0, 872.0, 491.0, 258.0, 0.0, 218.0]",22,"[23.0, 33.0, 32.0, 31.0, 21.0, 11.0, 12.0, 13.0, 22.0]","[65.6707092570485, 157.49366834395119, 83.098104408171466, 32.868825938033446, 19.457987928014369, 10.956275312677816, 5.7570652355822336, 0.0, 4.8644969820035922]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
2943.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[652.0, 839.0, 7058.0, 3724.0, 218.0, 258.0, 0.0, 989.0, 2943.0]",23,"[24.0, 34.0, 33.0, 32.0, 22.0, 12.0, 13.0, 14.0, 23.0]","[14.548862533331846, 18.72161911881199, 157.49366834395119, 83.098104408171466, 4.8644969820035922, 5.7570652355822336, 0.0, 22.068750069731895, 65.6707092570485]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
652.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[464.0, 1576.0, 839.0, 7058.0, 2943.0, 0.0, 989.0, 84.0, 652.0]",24,"[25.0, 35.0, 34.0, 33.0, 23.0, 13.0, 14.0, 15.0, 24.0]","[10.353791741512234, 35.16718919099845, 18.72161911881199, 157.49366834395119, 65.6707092570485, 0.0, 22.068750069731895, 1.8743933325151458, 14.548862533331846]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
464.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[711.0, 1469.0, 1576.0, 839.0, 652.0, 989.0, 84.0, 75.0, 464.0]",25,"[26.0, 36.0, 35.0, 34.0, 24.0, 14.0, 15.0, 16.0, 25.0]","[15.86540070736034, 32.779569112675588, 35.16718919099845, 18.72161911881199, 14.548862533331846, 22.068750069731895, 1.8743933325151458, 1.6735654754599516, 10.353791741512234]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
711.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[9717.0, 5491.0, 1469.0, 1576.0, 464.0, 84.0, 75.0, 5004.0, 711.0]",26,"[27.0, 37.0, 36.0, 35.0, 25.0, 15.0, 16.0, 17.0, 26.0]","[216.82714300059132, 122.52730701000792, 32.779569112675588, 35.16718919099845, 10.353791741512234, 1.8743933325151458, 1.6735654754599516, 111.66028852268796, 15.86540070736034]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
9717.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[0.0, 9717.0, 5491.0, 1469.0, 711.0, 75.0, 5004.0, 6345.0, 9717.0]",27,"[28.0, 27.0, 37.0, 36.0, 26.0, 16.0, 17.0, 18.0, 27.0]","[0.0, -100.0, 122.52730701000792, 32.779569112675588, 15.86540070736034, 1.6735654754599516, 111.66028852268796, 141.58363922391192, 216.82714300059132]","[1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
0.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[0.0, 0.0, 0.0, 5491.0, 9717.0, 5004.0, 6345.0, 0.0, 0.0]",28,"[28.0, 28.0, 28.0, 37.0, 27.0, 17.0, 18.0, 28.0, 28.0]","[-100.0, -100.0, -100.0, 122.52730701000792, 216.82714300059132, 111.66028852268796, 141.58363922391192, -100.0, 0.0]","[-1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0]"
4144.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[2492.0, 4144.0, 4144.0, 4144.0, 4144.0, 4144.0, 4583.0, 1603.0, 4144.0]",29,"[30.0, 29.0, 29.0, 29.0, 29.0, 29.0, 19.0, 20.0, 29.0]","[55.607002197949328, -100.0, -100.0, -100.0, -100.0, -100.0, 102.26600765377277, 35.769672762164035, 92.470071070747196]","[1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0]"
2492.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[1473.0, 443.0, 2492.0, 2492.0, 4144.0, 4583.0, 1603.0, 872.0, 2492.0]",30,"[31.0, 38.0, 30.0, 30.0, 29.0, 19.0, 20.0, 21.0, 30.0]","[32.868825938033446, 9.8851934083834472, -100.0, -100.0, 92.470071070747196, 102.26600765377277, 35.769672762164035, 19.457987928014369, 55.607002197949328]","[1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
1473.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[3724.0, 545.0, 443.0, 1473.0, 2492.0, 1603.0, 872.0, 218.0, 1473.0]",31,"[32.0, 39.0, 38.0, 31.0, 30.0, 20.0, 21.0, 22.0, 31.0]","[83.098104408171466, 12.161242455008981, 9.8851934083834472, -100.0, 55.607002197949328, 35.769672762164035, 19.457987928014369, 4.8644969820035922, 32.868825938033446]","[1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
3724.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[7058.0, 0.0, 545.0, 443.0, 1473.0, 872.0, 218.0, 2943.0, 3724.0]",32,"[33.0, 40.0, 39.0, 38.0, 31.0, 21.0, 22.0, 23.0, 32.0]","[157.49366834395119, 0.0, 12.161242455008981, 9.8851934083834472, 32.868825938033446, 19.457987928014369, 4.8644969820035922, 65.6707092570485, 83.098104408171466]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
7058.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[839.0, 1285.0, 0.0, 545.0, 3724.0, 218.0, 2943.0, 652.0, 7058.0]",33,"[34.0, 41.0, 40.0, 39.0, 32.0, 22.0, 23.0, 24.0, 33.0]","[18.72161911881199, 28.673755146213836, 0.0, 12.161242455008981, 83.098104408171466, 4.8644969820035922, 65.6707092570485, 14.548862533331846, 157.49366834395119]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
839.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[1576.0, 124.0, 1285.0, 0.0, 7058.0, 2943.0, 652.0, 464.0, 839.0]",34,"[35.0, 42.0, 41.0, 40.0, 33.0, 23.0, 24.0, 25.0, 34.0]","[35.16718919099845, 2.7669615860937866, 28.673755146213836, 0.0, 157.49366834395119, 65.6707092570485, 14.548862533331846, 10.353791741512234, 18.72161911881199]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
1576.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[1469.0, 31.0, 124.0, 1285.0, 839.0, 652.0, 464.0, 711.0, 1576.0]",35,"[36.0, 43.0, 42.0, 41.0, 34.0, 24.0, 25.0, 26.0, 35.0]","[32.779569112675588, 0.69174039652344665, 2.7669615860937866, 28.673755146213836, 18.72161911881199, 14.548862533331846, 10.353791741512234, 15.86540070736034, 35.16718919099845]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
1469.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[5491.0, 410.0, 31.0, 124.0, 1576.0, 464.0, 711.0, 9717.0, 1469.0]",36,"[37.0, 44.0, 43.0, 42.0, 35.0, 25.0, 26.0, 27.0, 36.0]","[122.52730701000792, 9.1488245991810686, 0.69174039652344665, 2.7669615860937866, 35.16718919099845, 10.353791741512234, 15.86540070736034, 216.82714300059132, 32.779569112675588]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
5491.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[5491.0, 5491.0, 410.0, 31.0, 1469.0, 711.0, 9717.0, 0.0, 5491.0]",37,"[37.0, 37.0, 44.0, 43.0, 36.0, 26.0, 27.0, 28.0, 37.0]","[-100.0, -100.0, 9.1488245991810686, 0.69174039652344665, 32.779569112675588, 15.86540070736034, 216.82714300059132, 0.0, 122.52730701000792]","[-1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
443.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[545.0, 4946.0, 1519.0, 1468.0, 443.0, 2492.0, 1473.0, 3724.0, 443.0]",38,"[39.0, 47.0, 46.0, 45.0, 38.0, 30.0, 31.0, 32.0, 38.0]","[12.161242455008981, 110.36606455499894, 33.895279429648888, 32.757254906336122, -100.0, 55.607002197949328, 32.868825938033446, 83.098104408171466, 9.8851934083834472]","[1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0]"
545.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[0.0, 807.0, 4946.0, 1519.0, 443.0, 1473.0, 3724.0, 7058.0, 545.0]",39,"[40.0, 48.0, 47.0, 46.0, 38.0, 31.0, 32.0, 33.0, 39.0]","[0.0, 18.007564515949078, 110.36606455499894, 33.895279429648888, 9.8851934083834472, 32.868825938033446, 83.098104408171466, 157.49366834395119, 12.161242455008981]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
0.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[1285.0, 1153.0, 807.0, 4946.0, 545.0, 3724.0, 7058.0, 839.0, 0.0]",40,"[41.0, 49.0, 48.0, 47.0, 39.0, 32.0, 33.0, 34.0, 40.0]","[28.673755146213836, 25.728279909404321, 18.007564515949078, 110.36606455499894, 12.161242455008981, 83.098104408171466, 157.49366834395119, 18.72161911881199, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
1285.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[124.0, 1285.0, 1153.0, 807.0, 0.0, 7058.0, 839.0, 1576.0, 1285.0]",41,"[42.0, 41.0, 49.0, 48.0, 40.0, 33.0, 34.0, 35.0, 41.0]","[2.7669615860937866, -100.0, 25.728279909404321, 18.007564515949078, 0.0, 157.49366834395119, 18.72161911881199, 35.16718919099845, 28.673755146213836]","[1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
124.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[31.0, 124.0, 124.0, 1153.0, 1285.0, 839.0, 1576.0, 1469.0, 124.0]",42,"[43.0, 42.0, 42.0, 49.0, 41.0, 34.0, 35.0, 36.0, 42.0]","[0.69174039652344665, -100.0, -100.0, 25.728279909404321, 28.673755146213836, 18.72161911881199, 35.16718919099845, 32.779569112675588, 2.7669615860937866]","[1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
31.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[410.0, 31.0, 31.0, 31.0, 124.0, 1576.0, 1469.0, 5491.0, 31.0]",43,"[44.0, 43.0, 43.0, 43.0, 42.0, 35.0, 36.0, 37.0, 43.0]","[9.1488245991810686, -100.0, -100.0, -100.0, 2.7669615860937866, 35.16718919099845, 32.779569112675588, 122.52730701000792, 0.69174039652344665]","[1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
410.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[410.0, 410.0, 410.0, 410.0, 31.0, 1469.0, 5491.0, 410.0, 410.0]",44,"[44.0, 44.0, 44.0, 44.0, 43.0, 36.0, 37.0, 44.0, 44.0]","[-100.0, -100.0, -100.0, -100.0, 0.69174039652344665, 32.779569112675588, 122.52730701000792, -100.0, 9.1488245991810686]","[-1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0]"
1468.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[1519.0, 1468.0, 1468.0, 1468.0, 1468.0, 1468.0, 1468.0, 443.0, 1468.0]",45,"[46.0, 45.0, 45.0, 45.0, 45.0, 45.0, 45.0, 38.0, 45.0]","[33.895279429648888, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, 9.8851934083834472, 32.757254906336122]","[1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0]"
1519.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[4946.0, 1519.0, 1519.0, 1519.0, 1468.0, 1519.0, 443.0, 545.0, 1519.0]",46,"[47.0, 46.0, 46.0, 46.0, 45.0, 46.0, 38.0, 39.0, 46.0]","[110.36606455499894, -100.0, -100.0, -100.0, 32.757254906336122, -100.0, 9.8851934083834472, 12.161242455008981, 33.895279429648888]","[1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0]"
4946.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[807.0, 4946.0, 4946.0, 4946.0, 1519.0, 443.0, 545.0, 0.0, 4946.0]",47,"[48.0, 47.0, 47.0, 47.0, 46.0, 38.0, 39.0, 40.0, 47.0]","[18.007564515949078, -100.0, -100.0, -100.0, 33.895279429648888, 9.8851934083834472, 12.161242455008981, 0.0, 110.36606455499894]","[1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
807.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[1153.0, 807.0, 807.0, 807.0, 4946.0, 545.0, 0.0, 1285.0, 807.0]",48,"[49.0, 48.0, 48.0, 48.0, 47.0, 39.0, 40.0, 41.0, 48.0]","[25.728279909404321, -100.0, -100.0, -100.0, 110.36606455499894, 12.161242455008981, 0.0, 28.673755146213836, 18.007564515949078]","[1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
1153.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[1153.0, 1153.0, 1153.0, 1153.0, 807.0, 0.0, 1285.0, 124.0, 1153.0]",49,"[49.0, 49.0, 49.0, 49.0, 48.0, 40.0, 41.0, 42.0, 49.0]","[-100.0, -100.0, -100.0, -100.0, 18.007564515949078, 0.0, 28.673755146213836, 2.7669615860937866, 25.728279909404321]","[-1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
