pose
"[-0.875, 4.125]"
"[-0.625, 4.125]"
"[-0.375, 4.125]"
"[-0.125, 4.125]"
"[0.125, 4.125]"
"[0.375, 4.125]"
"[0.625, 4.125]"
"[0.875, 4.125]"
"[1.125, 4.125]"
"[1.375, 4.125]"
"[1.625, 4.125]"
"[1.875, 4.125]"
"[2.125, 4.125]"
"[2.375, 4.125]"
"[2.625, 4.125]"
"[2.875, 4.125]"
"[3.125, 4.125]"
"[3.375, 4.125]"
"[3.625, 4.125]"
"[3.875, 4.125]"
"[-1.875, 4.375]"
"[-1.625, 4.375]"
"[-1.375, 4.375]"
"[-1.125, 4.375]"
"[-0.875, 4.375]"
"[-0.625, 4.375]"
"[-0.375, 4.375]"
"[-0.125, 4.375]"
"[0.125, 4.375]"
"[0.375, 4.375]"
"[0.625, 4.375]"
"[0.875, 4.375]"
"[1.125, 4.375]"
"[1.375, 4.375]"
"[2.125, 4.375]"
"[2.375, 4.375]"
"[2.625, 4.375]"
"[2.875, 4.375]"
"[3.125, 4.375]"
"[-2.125, 4.625]"
"[-1.875, 4.625]"
"[-1.625, 4.625]"
"[-1.375, 4.625]"
"[-1.125, 4.625]"
"[-0.875, 4.625]"
"[-0.625, 4.625]"
"[-0.375, 4.625]"
"[-0.125, 4.625]"
"[0.125, 4.625]"
"[0.375, 4.625]"
"[0.625, 4.625]"
"[0.875, 4.625]"
"[1.125, 4.625]"
"[1.375, 4.625]"
"[2.125, 4.625]"
"[2.375, 4.625]"
"[2.625, 4.625]"
"[2.875, 4.625]"
"[3.125, 4.625]"
"[3.375, 4.625]"
"[-2.125, 4.875]"
"[-1.875, 4.875]"
"[-1.625, 4.875]"
"[-1.375, 4.875]"
"[-1.125, 4.875]"
"[-0.875, 4.875]"
"[-0.625, 4.875]"
"[-0.375, 4.875]"
"[-0.125, 4.875]"
"[0.125, 4.875]"
"[0.375, 4.875]"
"[0.625, 4.875]"
"[0.875, 4.875]"
"[1.125, 4.875]"
"[1.375, 4.875]"
"[1.625, 4.875]"
"[1.875, 4.875]"
"[2.125, 4.875]"
"[2.375, 4.875]"
"[2.625, 4.875]"
"[2.875, 4.875]"
"[3.125, 4.875]"
"[3.375, 4.875]"
"[-2.125, 5.125]"
"[-1.875, 5.125]"
"[-1.625, 5.125]"
"[-1.375, 5.125]"
"[-1.125, 5.125]"
"[-0.875, 5.125]"
"[-0.625, 5.125]"
"[-0.375, 5.125]"
"[-0.125, 5.125]"
"[0.125, 5.125]"
"[0.375, 5.125]"
"[0.625, 5.125]"
"[0.875, 5.125]"
"[1.125, 5.125]"
"[1.375, 5.125]"
"[1.625, 5.125]"
"[-2.125, 5.375]"
"[-1.875, 5.375]"
"[-1.625, 5.375]"
"[-1.375, 5.375]"
"[-1.125, 5.375]"
"[-0.875, 5.375]"
"[-0.625, 5.375]"
"[-0.375, 5.375]"
"[-0.125, 5.375]"
"[0.125, 5.375]"
"[0.375, 5.375]"
"[0.625, 5.375]"
"[0.875, 5.375]"
"[1.125, 5.375]"
"[1.375, 5.375]"
"[1.625, 5.375]"
"[-2.125, 5.625]"
"[-1.875, 5.625]"
"[-1.625, 5.625]"
"[-1.375, 5.625]"
"[-1.125, 5.625]"
"[-0.875, 5.625]"
"[-0.625, 5.625]"
"[-0.375, 5.625]"
"[-0.125, 5.625]"
"[0.125, 5.625]"
"[0.375, 5.625]"
"[0.625, 5.625]"
"[0.875, 5.625]"
"[1.125, 5.625]"
"[1.375, 5.625]"
"[1.625, 5.625]"
