pose,start,finish_time,goal_state
"[651, 106]",1515857801.214212,1515857822.56366,4
"[651, 107]",1515857834.571362,1515857855.919585,4
"[651, 108]",1515857867.932147,1515857889.281034,4
"[651, 109]",1515857901.291739,1515857922.640008,4
"[651, 110]",1515857934.651461,1515857955.999906,4
"[651, 111]",1515857968.008978,1515857989.356305,4
"[651, 112]",1515858001.366933,1515858022.377435,4
"[651, 113]",1515858034.384066,1515858055.733456,4
"[651, 114]",1515858067.74376,1515858089.091375,4
"[651, 115]",1515858101.102065,1515858122.450542,4
"[651, 116]",1515858134.458393,1515858155.807465,4
"[651, 117]",1515858167.818059,1515858189.164058,4
"[651, 118]",1515858201.172372,1515858222.183928,4
"[651, 119]",1515858234.195427,1515858255.544166,4
"[651, 120]",1515858267.5541,1515858288.902954,4
"[651, 121]",1515858300.911765,1515858322.259756,4
"[651, 122]",1515858334.269333,1515858355.618468,4
"[651, 123]",1515858367.625273,1515858388.973313,4
"[651, 124]",1515858400.981515,1515858422.329628,4
"[651, 125]",1515858434.338437,1515858455.68651,4
"[651, 126]",1515858467.695782,1515858489.043956,4
"[651, 127]",1515858501.056425,1515858522.401008,4
"[651, 128]",1515858534.410073,1515858555.756035,4
"[651, 129]",1515858567.767058,1515858589.115338,4
"[651, 130]",1515858601.122016,1515858622.133243,4
"[651, 131]",1515858634.144569,1515858655.493195,4
"[651, 132]",1515858667.502598,1515858688.851058,4
"[651, 133]",1515858700.859358,1515858722.207795,4
"[651, 134]",1515858734.218895,1515858755.567705,4
"[651, 135]",1515858767.578512,1515858788.590013,4
"[651, 136]",1515858800.598274,1515858821.94584,4
"[651, 137]",1515858833.954551,1515858855.302435,4
"[651, 138]",1515858867.313307,1515858888.662612,4
"[651, 139]",1515858900.674077,1515858922.023316,4
"[651, 140]",1515858934.036087,1515858955.384395,4
"[651, 141]",1515858967.393067,1515858988.741282,4
"[651, 142]",1515859000.750588,1515859022.09931,4
"[651, 143]",1515859034.104274,1515859055.452902,4
"[651, 144]",1515859067.462079,1515859088.810308,4
"[651, 145]",1515859100.819515,1515859122.167584,4
"[651, 146]",1515859134.178507,1515859155.5264,4
"[651, 147]",1515859167.535313,1515859188.882017,4
"[651, 148]",1515859200.889405,1515859222.237844,4
"[651, 149]",1515859234.247075,1515859255.596979,4
"[651, 150]",1515859267.604852,1515859288.953175,4
"[651, 151]",1515859300.95917,1515859322.308693,4
"[651, 152]",1515859334.31674,1515859355.665672,4
"[651, 153]",1515859367.676039,1515859389.024985,4
"[651, 154]",1515859401.033978,1515859422.383909,4
"[651, 155]",1515859434.397234,1515859455.745551,4
"[651, 156]",1515859467.756842,1515859489.106418,4
"[651, 157]",1515859501.116355,1515859522.464173,4
"[651, 158]",1515859534.473728,1515859555.82318,4
"[651, 159]",1515859567.834214,1515859589.183367,4
"[651, 160]",1515859601.193898,1515859622.542186,4
"[651, 161]",1515859634.553062,1515859655.90171,4
"[651, 162]",1515859667.91371,1515859689.258565,4
"[651, 163]",1515859701.267084,1515859722.279934,4
"[651, 164]",1515859734.288662,1515859755.637027,4
"[651, 165]",1515859767.6465,1515859788.995267,4
"[651, 166]",1515859801.003924,1515859822.352534,4
"[651, 167]",1515859834.364517,1515859855.712781,4
"[651, 168]",1515859867.723463,1515859889.071925,4
"[651, 169]",1515859901.078425,1515859922.42752,4
"[651, 170]",1515859934.435439,1515859955.783388,4
"[651, 171]",1515859967.792739,1515859989.140884,4
"[651, 172]",1515860001.1524,1515860022.500082,4
"[651, 173]",1515860034.508608,1515860055.857334,4
"[651, 174]",1515860067.863151,1515860089.212578,4
"[651, 175]",1515860101.22471,1515860122.573695,4
"[651, 176]",1515860134.581951,1515860155.930856,4
"[651, 177]",1515860167.939126,1515860189.289089,4
"[651, 178]",1515860201.296435,1515860222.644682,4
"[651, 179]",1515860234.652293,1515860256.000079,4
"[651, 180]",1515860268.009273,1515860289.357564,4
"[651, 181]",1515860301.366319,1515860322.713436,4
"[651, 182]",1515860334.722253,1515860356.07066,4
"[651, 183]",1515860368.078622,1515860389.427216,4
"[651, 184]",1515860401.436999,1515860422.784756,4
"[651, 185]",1515860434.795959,1515860456.144771,4
"[651, 186]",1515860468.156874,1515860489.505413,4
"[651, 187]",1515860501.514071,1515860522.860452,4
"[651, 188]",1515860534.868118,1515860556.216377,4
"[651, 189]",1515860568.228398,1515860589.577345,4
"[651, 190]",1515860601.584446,1515860622.932266,4
"[651, 191]",1515860634.939458,1515860656.288132,4
"[651, 192]",1515860668.296618,1515860689.644396,4
"[651, 193]",1515860701.65632,1515860723.005315,4
"[651, 194]",1515860735.013813,1515860756.360387,4
"[651, 195]",1515860768.370056,1515860789.718527,4
"[651, 196]",1515860801.725848,1515860823.074485,4
