pose,start,finish_time,goal_state
"[184, 301]",1515321950.097134,1515321971.435145,3
"[184, 302]",1515321983.446455,1515321995.795758,3
"[184, 303]",1515322007.801315,1515322017.145926,3
"[184, 304]",1515322029.15423,1515322038.831758,3
"[184, 305]",1515322050.839013,1515322060.51619,3
"[184, 306]",1515322072.526789,1515322082.541801,3
"[184, 307]",1515322094.548418,1515322104.894994,3
"[184, 308]",1515322116.902644,1515322131.238675,3
"[184, 309]",1515322143.24571,1515322164.476155,4
"[184, 310]",1515322176.485982,1515322194.512004,3
"[184, 311]",1515322206.521832,1515322222.861115,3
"[184, 312]",1515322234.871032,1515322253.20544,3
"[184, 313]",1515322265.212786,1515322289.54793,3
"[184, 314]",1515322301.554701,1515322311.199925,4
"[184, 315]",1515322323.208577,1515322344.439335,4
"[184, 316]",1515322356.447012,1515322370.783447,3
"[184, 317]",1515322382.790344,1515322395.472075,3
"[184, 318]",1515322407.482178,1515322421.817595,3
"[184, 319]",1515322433.822605,1515322444.83887,3
"[184, 320]",1515322456.847022,1515322466.861039,3
"[184, 321]",1515322478.871007,1515322488.216081,3
"[184, 322]",1515322500.223639,1515322510.570891,3
"[184, 323]",1515322522.578199,1515322534.259428,3
"[184, 324]",1515322546.264292,1515322556.610447,3
"[184, 325]",1515322568.622199,1515322579.970338,3
"[184, 326]",1515322591.979016,1515322604.313629,3
"[184, 327]",1515322616.320879,1515322627.337129,3
"[184, 328]",1515322639.344347,1515322652.363344,3
"[184, 329]",1515322664.370146,1515322677.389924,3
"[184, 330]",1515322689.396919,1515322704.080721,3
"[184, 331]",1515322716.090777,1515322730.110385,3
"[184, 332]",1515322742.117873,1515322759.460251,3
"[184, 333]",1515322771.466533,300.0,1
"[184, 334]",1515323083.475002,1515323102.50335,3
"[184, 335]",1515323114.516455,1515323138.213628,3
"[184, 336]",1515323150.223259,1515323163.242852,3
"[184, 337]",1515323175.254714,1515323189.274713,3
"[184, 338]",1515323201.283791,1515323214.967538,3
"[184, 339]",1515323226.974518,1515323237.321864,3
"[184, 340]",1515323249.329446,1515323260.009133,3
"[184, 341]",1515323272.017061,1515323282.696104,3
"[184, 342]",1515323294.706238,1515323307.386866,3
"[184, 343]",1515323319.395308,1515323331.412306,3
"[184, 344]",1515323343.421409,1515323355.101883,3
"[184, 345]",1515323367.111433,1515323379.460141,3
"[184, 346]",1515323391.468733,1515323406.807215,3
"[184, 347]",1515323418.815635,1515323432.499347,3
"[184, 348]",1515323444.509351,1515323459.531228,3
"[184, 349]",1515323471.541121,1515323486.225459,3
"[184, 350]",1515323498.234901,300.0,1
"[184, 351]",1515323810.246467,1515323839.919561,3
"[184, 352]",1515323851.928853,1515323869.269497,3
"[184, 353]",1515323881.275178,1515323894.610396,3
"[184, 354]",1515323906.615594,1515323919.634435,3
"[184, 355]",1515323931.641307,1515323954.975714,3
"[184, 356]",1515323966.983038,1515323980.318112,3
"[184, 357]",1515323992.324274,1515324003.673305,3
"[184, 358]",1515324015.682543,1515324027.362475,3
"[184, 359]",1515324039.370543,1515324051.720209,3
"[184, 360]",1515324063.726998,1515324077.062584,3
"[184, 361]",1515324089.071933,1515324101.089691,3
"[184, 362]",1515324113.099155,1515324125.780876,3
"[184, 363]",1515324137.786986,1515324150.8065,3
"[184, 364]",1515324162.81437,1515324176.834502,3
"[184, 365]",1515324188.8427,1515324203.178913,3
"[184, 366]",1515324215.19103,1515324230.876995,3
"[184, 367]",1515324242.887001,1515324269.556985,3
"[184, 368]",1515324281.565233,300.0,1
"[184, 369]",1515324593.573463,1515324603.218738,4
"[184, 370]",1515324615.227017,300.0,1
"[184, 371]",1515324927.236307,1515324944.926314,3
"[184, 372]",1515324956.931591,1515324971.616603,3
"[184, 373]",1515324983.625681,1515324996.644758,3
"[184, 374]",1515325008.653898,1515325021.988666,3
"[184, 375]",1515325033.993297,1515325046.675651,3
"[184, 376]",1515325058.683022,1515325071.032635,3
"[184, 377]",1515325083.040525,1515325095.722414,3
"[184, 378]",1515325107.731867,1515325121.753039,3
"[184, 379]",1515325133.76576,1515325146.784957,3
"[184, 380]",1515325158.791706,1515325172.475768,3
"[184, 381]",1515325184.485129,1515325198.168945,3
"[184, 382]",1515325210.177144,1515325225.200078,3
"[184, 383]",1515325237.208238,1515325252.894248,3
"[184, 384]",1515325264.90393,1515325279.588115,3
"[184, 385]",1515325291.594486,1515325309.282531,3
"[184, 386]",1515325321.291786,1515325331.005304,4
"[184, 387]",1515325343.015956,1515325352.66093,4
"[184, 388]",1515325364.669362,1515325374.21472,4
"[184, 389]",1515325386.225261,1515325421.239652,3
"[184, 390]",1515325433.24778,1515325467.929379,3
"[184, 391]",1515325479.937889,1515325516.290765,3
"[184, 392]",1515325528.301284,1515325549.632047,4
"[184, 393]",1515325561.642316,1515325582.335228,3
"[184, 394]",1515325594.3429,1515325617.375646,3
"[184, 395]",1515325629.383023,1515325649.074927,3
"[184, 396]",1515325661.082006,1515325676.104794,3
"[184, 397]",1515325688.111587,1515325705.135953,3
"[184, 398]",1515325717.144523,1515325734.169151,3
"[184, 399]",1515325746.177039,1515325761.200109,3
"[184, 400]",1515325773.207013,1515325790.230812,3
"[184, 401]",1515325802.238039,1515325815.25626,3
"[184, 402]",1515325827.264987,1515325842.602647,3
"[184, 403]",1515325854.609656,300.0,1
"[184, 404]",1515326166.618996,1515326180.955396,3
"[184, 405]",1515326192.967416,1515326207.652315,3
"[184, 406]",1515326219.661782,1515326233.682233,3
"[184, 407]",1515326245.691008,1515326260.375494,3
"[184, 408]",1515326272.384802,1515326287.723012,3
"[184, 409]",1515326299.731895,1515326314.754178,3
"[184, 410]",1515326326.760233,300.0,1
"[184, 411]",1515326638.768875,1515326648.4833,4
"[184, 412]",1515326660.490612,1515326670.03575,4
"[184, 413]",1515326682.044921,1515326715.056768,3
"[184, 414]",1515326727.064018,1515326766.421134,3
"[184, 415]",1515326778.428767,1515326800.764386,3
"[184, 416]",1515326812.775332,1515326834.106635,4
"[184, 417]",1515326846.116608,1515326870.784594,3
"[184, 418]",1515326882.793951,1515326900.481795,3
"[184, 419]",1515326912.491318,1515326930.515733,3
"[184, 420]",1515326942.525622,1515326959.550899,3
"[184, 421]",1515326971.560202,1515326990.588644,3
"[184, 422]",1515327002.60111,1515327025.634655,3
"[184, 423]",1515327037.643011,1515327051.978893,3
"[184, 424]",1515327063.988927,1515327081.328857,3
"[184, 425]",1515327093.33904,1515327108.360415,3
"[184, 426]",1515327120.373502,1515327141.604553,4
"[184, 427]",1515327153.615033,1515327174.778817,4
"[184, 428]",1515327186.787011,1515327218.795929,3
"[184, 429]",1515327230.806102,1515327245.828434,3
"[184, 430]",1515327257.840325,1515327274.180733,3
"[184, 431]",1515327286.187024,1515327302.210366,3
"[184, 432]",1515327314.2193,1515327332.560792,3
"[184, 433]",1515327344.566272,1515327365.829056,4
"[184, 434]",1515327377.84163,1515327399.003533,4
"[184, 435]",1515327411.011823,1515327420.656854,4
"[184, 436]",1515327432.663231,1515327442.376857,4
"[184, 437]",1515327454.383687,300.0,1
"[184, 438]",1515327766.388369,1515327795.730932,3
"[184, 439]",1515327807.740167,1515327831.074948,3
"[184, 440]",1515327843.085396,1515327866.11893,3
"[184, 441]",1515327878.127242,1515327900.462914,3
"[184, 442]",1515327912.471228,1515327937.138846,3
"[184, 443]",1515327949.148684,1515327967.839492,3
"[184, 444]",1515327979.849302,1515327996.188071,3
"[184, 445]",1515328008.194306,1515328027.529152,3
"[184, 446]",1515328039.539517,1515328056.22694,3
"[184, 447]",1515328068.234998,1515328083.25735,3
"[184, 448]",1515328095.264571,1515328110.286702,3
"[184, 449]",1515328122.295013,1515328138.317782,3
"[184, 450]",1515328150.323215,1515328168.350089,3
"[184, 451]",1515328180.359047,1515328195.696395,3
"[184, 452]",1515328207.705195,1515328223.390882,3
"[184, 453]",1515328235.399037,1515328252.085431,3
