pose,start,finish_time,goal_state
"[647, 632]",1514880900.897333,1514880922.265813,4
"[647, 633]",1514880934.274655,1514880955.611501,4
"[647, 634]",1514880967.621563,1514880988.887584,4
"[647, 635]",1514881000.898769,1514881022.263431,4
"[647, 636]",1514881034.271466,1514881043.816516,4
"[647, 637]",1514881055.824499,1514881065.437922,4
"[647, 638]",1514881077.445354,1514881087.059374,4
"[647, 639]",1514881099.071009,1514881103.077708,3
"[647, 640]",1514881115.085439,1514881118.422538,3
"[647, 641]",1514881130.431477,1514881151.765199,4
"[647, 642]",1514881163.774397,1514881173.319056,4
"[647, 643]",1514881185.331165,1514881188.668192,3
"[647, 644]",1514881200.675315,1514881203.01131,3
"[647, 645]",1514881215.021247,1514881236.287382,4
"[647, 646]",1514881248.29727,1514881257.842748,4
"[647, 647]",1514881269.849245,1514881270.550978,3
"[647, 648]",1514881282.56331,1514881284.566795,3
"[647, 649]",1514881297.165245,1514881318.531413,4
"[648, 632]",1514881363.814358,1514881385.079428,4
"[648, 633]",1514881397.08895,1514881418.423635,4
"[648, 634]",1514881430.431463,1514881451.766508,4
"[648, 635]",1514881463.778342,1514881485.113998,4
"[648, 636]",1514881497.118998,1514881506.763151,4
"[648, 637]",1514881518.773708,1514881528.48736,4
"[648, 638]",1514881540.495537,1514881550.109265,4
"[648, 639]",1514881562.117612,1514881568.127611,3
"[648, 640]",1514881580.135432,1514881584.141836,3
"[648, 641]",1514881596.150103,1514881617.50255,4
"[648, 642]",1514881629.511797,1514881639.056459,4
"[648, 643]",1514881651.065835,300.0,1
"[648, 644]",1514881963.078172,1514881966.415824,3
"[648, 645]",1514881978.423045,1514881999.689727,4
"[648, 646]",1514882011.700108,1514882021.344887,4
"[648, 647]",1514882033.355497,1514882038.027515,3
"[648, 648]",1514882050.035767,1514882050.737079,3
"[648, 649]",1514882062.746555,1514882084.011871,4
