episodes,explore,cost_function,episode_reward,wander,cells,total_rewards
113,82,527.59317779541016,598.2279823230499,0,"[319, 336, 354, 373, 398, 423, 400]",123.27689181494632
114,84,474.58854064941409,598.2279823230499,0,"[319, 336, 354, 373, 398, 423, 400]",-751.48578210084395
115,81,466.07782897949221,762.20398118464993,0,"[319, 336, 354, 373, 398, 399, 400, 423]",1069.7158740184559
116,80,412.88832397460936,762.20398118464993,0,"[319, 336, 354, 373, 398, 399, 400, 423]",776.50774965977098
117,79,345.7498809814453,762.20398118464993,0,"[319, 336, 354, 373, 398, 399, 400, 423]",-689.92814585690144
118,87,441.60401611328126,1781.9606888362202,0,"[319, 336, 354, 373, 398, 399, 400, 423, 448, 447, 469, 492, 510, 521, 531, 541, 556, 557, 571, 586]",317.64059911565471
119,79,354.91883392333983,1781.9606888362202,0,"[319, 336, 354, 373, 398, 399, 400, 423, 448, 447, 469, 492, 510, 521, 531, 541, 556, 557, 571, 586]",175.87526192084684
120,80,285.29556579589843,1781.9606888362202,0,"[319, 336, 354, 373, 398, 399, 400, 423, 448, 447, 469, 492, 510, 521, 531, 541, 556, 557, 571, 586]",749.0160446680128
121,78,477.37519378662108,1781.9606888362202,0,"[319, 336, 354, 373, 398, 399, 400, 423, 448, 447, 469, 492, 510, 521, 531, 541, 556, 557, 571, 586]",-125.21649370251869
122,82,448.3779357910156,1781.9606888362202,0,"[319, 336, 354, 373, 398, 399, 400, 423, 448, 447, 469, 492, 510, 521, 531, 541, 556, 557, 571, 586]",661.59704631383693
