episodes,loss,rewards,epsilon
6751,1.49814,42.92249160427986,1.1979747000003165
6794,1.70723,32.42254181124412,1.1979618000003185
6837,1.44763,67.52278838322417,1.1979489000003205
6880,1.31797,35.44611677024178,1.1979360000003225
6923,1.42988,36.23715538497585,1.1979231000003245
6966,1.47798,33.987883385957666,1.1979102000003266
7009,1.28453,20.645103705273964,1.1978973000003286
7052,1.54341,52.82330495710092,1.1978844000003306
7095,1.54466,43.8529940086356,1.1978715000003326
7138,1.44166,42.17050285063985,1.1978586000003346
7181,1.52842,38.67051958629462,1.1978457000003366
7224,1.45123,39.27077173682624,1.1978328000003386
7267,1.47881,38.83564471320666,1.1978199000003407
7310,1.46233,44.32605518303227,1.1978070000003427
7353,1.66448,29.995871871827198,1.1977941000003447
7396,1.45914,39.50507090339064,1.1977812000003467
7439,1.54964,37.85605105490409,1.1977683000003487
7482,1.24966,37.98658916198998,1.1977554000003507
7525,1.44661,39.52515368909616,1.1977425000003528
7568,1.44579,40.245902553860915,1.1977296000003548
7611,1.63953,45.773131464146644,1.1977167000003568
7654,1.79184,40.853964676611355,1.1977038000003588
7697,1.93809,62.60250588537192,1.1976909000003608
7740,1.36849,48.71079672873735,1.1976780000003628
7783,1.66784,55.99303796762208,1.1976651000003649
7826,1.67004,32.585435517522235,1.1976522000003669
7869,1.70311,35.26202456794118,1.197639300000369
7912,1.66108,32.14696136295173,1.197626400000371
7955,1.57838,48.497696058195444,1.197613500000373
7998,1.53368,29.30859431657165,1.197600600000375
8041,1.52405,44.305972397326755,1.197587700000377
8084,1.53478,35.95822780573251,1.197574800000379
8127,1.61488,32.19605261689855,1.197561900000381
8170,1.82034,40.85061754566044,1.197549000000383
8213,1.27861,66.03554653069877,1.197536100000385
8256,1.416,27.5970946903346,1.197523200000387
8299,1.43581,27.581474745896976,1.197510300000389
8342,1.6219,35.490745182920705,1.197497400000391
8385,1.57123,42.49852168383,1.197484500000393
8428,1.50248,28.825491749322207,1.197471600000395
8471,1.58421,43.32637873902419,1.1974587000003971
8514,1.37168,15.217173013198853,1.1974458000003991
8557,1.62906,41.80678128730656,1.1974329000004011
8600,1.46714,41.444175434290244,1.1974200000004032
8643,1.51879,26.655435182809136,1.1974071000004052
8686,1.52962,29.617646074373248,1.1973942000004072
8729,1.28773,23.770208303116178,1.1973813000004092
8772,1.56179,30.126409978913074,1.1973684000004112
8815,1.46079,28.29887647971081,1.1973555000004132
8858,1.46608,43.896506710997556,1.1973426000004153
8901,1.71985,56.08564192393087,1.1973297000004173
8944,1.4359,60.567450267212614,1.1973168000004193
8987,1.47802,34.48102734605987,1.1973039000004213
9030,1.43849,46.93123877316494,1.1972910000004233
9073,1.21975,35.139296433074115,1.1972781000004253
9116,1.53135,41.921699449954815,1.1972652000004274
9159,1.42083,54.05839627799038,1.1972523000004294
9202,1.51919,15.197090227493334,1.1972394000004314
9245,1.62348,43.657744703165264,1.1972265000004334
9288,1.58399,28.375860491581967,1.1972136000004354
9331,1.62647,39.999330573809814,1.1972007000004374
9374,1.65299,49.40476854589474,1.1971878000004395
9417,1.45039,33.94548639391269,1.1971749000004415
9460,1.48876,38.24320253489383,1.1971620000004435
9503,1.55574,21.265438641511118,1.1971491000004455
9546,1.54312,54.47120909527051,1.1971362000004475
9589,1.4658,20.270225038770935,1.1971233000004495
9632,2.02876,35.19954479019067,1.1971104000004515
9675,1.31043,48.83798770487231,1.1970975000004536
9718,1.49887,33.043992457798254,1.1970846000004556
9761,1.34613,29.764919836213725,1.1970717000004576
9804,1.31525,35.64917604793091,1.1970588000004596
9847,1.51267,25.502906425375716,1.1970459000004616
9890,1.53895,48.62153990337948,1.1970330000004636
9933,1.27435,42.92472302491381,1.1970201000004657
9976,1.6253,30.85831594684756,1.1970072000004677
10019,1.77067,46.686898213747774,1.1969943000004697
10062,1.53865,34.820203282419754,1.1969814000004717
10105,1.33939,30.93864708966964,1.1969685000004737
10148,1.45401,67.8474600854634,1.1969556000004757
10191,1.46443,47.76244295931005,1.1969427000004778
10234,1.42382,51.647346283011075,1.1969298000004798
10277,1.63611,28.669292304945948,1.1969169000004818
10320,1.6159,53.53624384964687,1.1969040000004838
10363,1.37798,46.4726818328889,1.1968911000004858
10406,1.53031,32.622253957982345,1.1968782000004878
10449,1.49433,37.737785761304934,1.1968653000004899
10492,1.38138,27.298084325385755,1.1968524000004919
10535,1.64402,44.23345122672349,1.1968395000004939
10578,1.50329,38.86019034018007,1.196826600000496
10621,1.37636,19.433442301040955,1.196813700000498
10664,1.46662,44.38630354014884,1.1968008000005
10707,1.73751,40.01718193888139,1.196787900000502
10750,1.51831,54.69435115866516,1.196775000000504
10793,1.53719,14.760847493556776,1.196762100000506
10836,1.78383,27.33601847616285,1.196749200000508
10879,1.31443,41.80343415635564,1.19673630000051
10922,1.30246,25.60778319517121,1.196723400000512
10965,1.74196,45.19519351995447,1.196710500000514
11008,1.49874,60.17248881500407,1.196697600000516
11051,1.46413,46.88995749143692,1.196684700000518
11094,1.36207,18.710462015642257,1.19667180000052
11137,1.6369,29.947896328197345,1.196658900000522
11180,1.50154,42.916913052695,1.1966460000005241
11223,1.63906,33.041761037164314,1.1966331000005261
11266,1.50736,44.24572404021019,1.1966202000005282
11309,1.59626,27.212174630978808,1.1966073000005302
11352,1.65712,35.53314217496569,1.1965944000005322
11395,1.84734,31.65381740284952,1.1965815000005342
11438,1.6263,38.362583538809986,1.1965686000005362
11481,1.47511,36.72918363476107,1.1965557000005382
11524,1.52544,48.99418714924856,1.1965428000005403
11567,1.37875,43.4892724453023,1.1965299000005423
11610,1.62038,36.17802273817627,1.1965170000005443
11653,1.93736,61.760144596057074,1.1965041000005463
11696,1.44833,17.971861785805935,1.1964912000005483
11739,1.39018,48.463109038369275,1.1964783000005503
11782,1.60008,44.18993852436154,1.1964654000005523
11825,1.76435,42.28318959265417,1.1964525000005544
11868,1.27816,20.397416014905886,1.1964396000005564
11911,1.48691,36.67786096018028,1.1964267000005584
11954,1.70621,23.41541242231867,1.1964138000005604
11997,1.6451,24.660545136060872,1.1964009000005624
12040,1.81791,26.297292171060707,1.1963880000005644
12083,1.40019,65.30698769371519,1.1963751000005665
12126,1.45791,31.878075176561158,1.1963622000005685
12169,1.52737,32.30427651764496,1.1963493000005705
12212,1.41418,29.511653594260785,1.1963364000005725
12255,1.31881,31.86357094244051,1.1963235000005745
12298,1.25549,33.1923819299557,1.1963106000005765
12341,1.25673,45.29672315879905,1.1962977000005786
12384,1.25312,36.14566713898403,1.1962848000005806
12427,1.29535,50.614198529493805,1.1962719000005826
12470,1.57477,47.51475526894197,1.1962590000005846
12513,1.432,57.0496156377958,1.1962461000005866
12556,1.75284,30.48343728034453,1.1962332000005886
12599,1.71039,43.36319717948432,1.1962203000005907
12642,1.11601,33.065190953820746,1.1962074000005927
12685,1.33294,46.903346015240594,1.1961945000005947
12728,1.39201,44.3539479409566,1.1961816000005967
12771,1.43619,44.13973156009773,1.1961687000005987
12814,1.48913,45.99515781722434,1.1961558000006007
12857,1.45934,34.51673007620302,1.1961429000006027
12900,1.54418,31.943902085262582,1.1961300000006048
12943,1.56912,25.84989233395441,1.1961171000006068
12986,1.2597,36.288478059556624,1.1961042000006088
13029,1.50441,27.697508618862198,1.1960913000006108
13072,1.37802,28.430530297113652,1.1960784000006128
13115,1.193,29.861986633790405,1.1960655000006148
13158,1.27864,41.67959031117161,1.1960526000006169
13201,1.61608,39.38792132010843,1.1960397000006189
13244,1.37081,34.963014202992326,1.196026800000621
13287,1.46281,37.5804706066117,1.196013900000623
13330,1.37373,31.13054926418905,1.196001000000625
13373,1.52631,49.371297236385544,1.195988100000627
13416,1.63822,35.01545258789008,1.195975200000629
13459,1.37215,57.7681330819266,1.195962300000631
13502,1.53381,32.66241952939339,1.195949400000633
13545,1.23035,44.63064409956598,1.195936500000635
13588,1.63927,57.26717914960559,1.195923600000637
13631,1.92012,28.06346160282944,1.195910700000639
13674,1.40553,59.08132412500417,1.195897800000641
13717,1.29873,47.34739872139597,1.195884900000643
13760,1.03729,15.503910564660991,1.195872000000645
13803,1.1835,39.434781153421326,1.195859100000647
13846,1.68922,39.48498811768512,1.1958462000006491
13889,1.20603,30.389717613718776,1.1958333000006511
13932,1.39394,50.319651005812844,1.1958204000006531
13975,1.53725,45.237590511999464,1.1958075000006552
14018,1.50077,33.530442155998614,1.1957946000006572
14061,1.6486,38.802173403697466,1.1957817000006592
14104,1.54563,49.85105267268406,1.1957688000006612
14147,1.48965,25.92687634582557,1.1957559000006632
14190,1.26372,49.916879581385494,1.1957430000006652
14233,1.66296,37.220096174229326,1.1957301000006673
14276,1.42153,45.6202791507213,1.1957172000006693
14319,1.33855,40.11313302614109,1.1957043000006713
14362,1.49015,37.25022035278761,1.1956914000006733
14405,1.39059,39.91788372067076,1.1956785000006753
14448,1.38831,43.31633734617144,1.1956656000006773
14491,1.4658,46.77727074942261,1.1956527000006794
14534,1.07103,43.02625266375837,1.1956398000006814
14577,1.57171,46.99371855091543,1.1956269000006834
14620,1.70033,47.37863861027123,1.1956140000006854
14663,1.67806,28.402637539189325,1.1956011000006874
14706,1.3365,42.437157616396476,1.1955882000006894
14749,1.34083,27.534614912584097,1.1955753000006915
14792,1.49111,46.51061598366599,1.1955624000006935
14835,1.73319,34.42077898894331,1.1955495000006955
14878,1.55058,36.82067188075288,1.1955366000006975
14921,1.48546,51.95081948922782,1.1955237000006995
14964,1.27045,33.48469803300271,1.1955108000007015
15007,1.42552,54.126454607325755,1.1954979000007036
15050,1.88635,44.39299780205068,1.1954850000007056
15093,1.28956,36.914391547378635,1.1954721000007076
15136,1.49551,42.15153577525131,1.1954592000007096
15179,1.5428,41.87707103727587,1.1954463000007116
15222,1.46491,32.04989456537505,1.1954334000007136
15265,1.28632,33.83391536221535,1.1954205000007156
15308,1.44381,39.52961653036405,1.1954076000007177
15351,1.51029,57.37205591940109,1.1953947000007197
15394,1.2139,66.80873378036125,1.1953818000007217
15437,1.43362,41.68405315243949,1.1953689000007237
15480,1.43921,28.83999598344286,1.1953560000007257
15523,1.65617,38.13944147541532,1.1953431000007277
15566,1.54162,31.508775061642993,1.1953302000007298
15609,1.58304,38.19076414999609,1.1953173000007318
15652,1.46555,31.449642414843407,1.1953044000007338
15695,1.87996,50.39440359705005,1.1952915000007358
15738,1.3277,49.57993506565956,1.1952786000007378
15781,1.54343,40.62301264099789,1.1952657000007398
15824,1.74482,37.77460420176505,1.1952528000007419
15867,1.63883,36.42013187695946,1.1952399000007439
15910,1.4692,37.45216392015977,1.1952270000007459
15953,1.61369,18.877818563188253,1.195214100000748
15996,1.46378,30.67757087549789,1.19520120000075
16039,1.36517,37.860513896171994,1.195188300000752
16082,1.44591,50.80833212464716,1.195175400000754
16125,1.50069,39.624451907306785,1.195162500000756
16168,1.54504,53.12900958395162,1.195149600000758
16211,1.62311,33.03952961653036,1.19513670000076
16254,1.46876,29.105535038882504,1.195123800000762
16297,1.498,53.754923071773646,1.195110900000764
16340,1.57265,65.42971582858226,1.195098000000766
16383,1.71759,43.27059322317553,1.195085100000768
16426,1.52273,45.35027725401377,1.19507220000077
16469,1.1325,56.47502482455454,1.195059300000772
16512,1.59352,26.840643095426703,1.1950464000007741
16555,1.60988,43.34534581441273,1.1950335000007761
16598,1.51279,45.44288121032255,1.1950206000007781
16641,1.52377,38.20861551506766,1.1950077000007802
16684,1.70926,44.440973345680526,1.1949948000007822
16727,1.57408,45.11820950808332,1.1949819000007842
16770,1.91017,38.00332481674458,1.1949690000007862
16813,1.4674,30.601702573943697,1.1949561000007882
16856,1.64966,41.777772819065255,1.1949432000007902
16899,1.41572,43.662207544433166,1.1949303000007923
16942,1.64923,23.582768969864667,1.1949174000007943
16985,1.4783,44.453246159167236,1.1949045000007963
17028,1.49582,30.65860380010934,1.1948916000007983
17071,1.35309,62.073659195126574,1.1948787000008003
17114,1.54961,33.36196989813564,1.1948658000008023
17157,1.63485,27.594863269700657,1.1948529000008044
17200,1.96414,43.74253868725524,1.1948400000008064
17243,1.52875,51.34052594584342,1.1948271000008084
17286,1.40946,41.82463265237813,1.1948142000008104
17329,1.54259,54.15100023429916,1.1948013000008124
17372,1.3391,55.93390532082249,1.1947884000008144
17415,1.4274,49.153733724575744,1.1947755000008164
17458,1.40772,46.39123497974987,1.1947626000008185
17501,1.56793,45.34693012306284,1.1947497000008205
17544,1.4945,40.11536444677503,1.1947368000008225
17587,1.82205,42.4527775608341,1.1947239000008245
17630,1.68084,41.072643898738136,1.1947110000008265
17673,1.64707,31.58129623224626,1.1946981000008285
17716,1.79969,42.07008892211226,1.1946852000008306
17759,1.59598,9.215767218199467,1.1946723000008326
17802,1.61569,66.43273940354125,1.1946594000008346
17845,1.47978,47.434424126119886,1.1946465000008366
17888,1.7294,53.81740284952415,1.1946336000008386
17931,1.7041,36.892077341039176,1.1946207000008406
17974,1.26271,55.35485166631335,1.1946078000008427
18017,1.37663,42.58443137823696,1.1945949000008447
18060,1.70354,25.931339187093464,1.1945820000008467
18103,1.40298,48.64943266130382,1.1945691000008487
18146,1.52563,47.5381851855984,1.1945562000008507
18189,1.51518,19.016166642492944,1.1945433000008527
18232,1.28038,30.224592486806724,1.1945304000008548
18275,1.70245,41.680706021488575,1.1945175000008568
18318,1.47451,19.90427205480369,1.1945046000008588
18361,1.40805,39.0643653281862,1.1944917000008608
18404,1.47873,23.704381394414753,1.1944788000008628
18447,1.43244,32.28196231130549,1.1944659000008648
18490,1.57953,40.852848966294395,1.1944530000008668
18533,1.4286,42.17942853317564,1.1944401000008689
18576,1.62761,38.83899184415758,1.1944272000008709
18619,1.54554,21.877963605529462,1.194414300000873
18662,1.48534,35.60677905588592,1.194401400000875
18705,1.53021,36.25054390877952,1.194388500000877
18748,1.57221,47.791451427551344,1.194375600000879
18791,1.74021,37.50348659474054,1.194362700000881
18834,1.64578,33.62750895357529,1.194349800000883
18877,1.63214,26.350846266275422,1.194336900000885
18920,1.38158,20.48220999899586,1.194324000000887
18963,1.47528,48.445257673297704,1.194311100000889
19006,1.4704,32.025348938401635,1.194298200000891
19049,1.57492,39.727097256468326,1.194285300000893
19092,1.27912,9.70667975766772,1.194272400000895
19135,1.32522,38.285599526938825,1.194259500000897
19178,1.58915,35.23413181001685,1.194246600000899
19221,1.44437,42.63575405281772,1.1942337000009011
19264,1.20676,25.367905477021946,1.1942208000009031
19307,1.26195,43.271708933492505,1.1942079000009052
19350,1.55143,28.451728793136148,1.1941950000009072
19393,1.38985,40.67991386716353,1.1941821000009092
19436,1.52887,43.681174619821704,1.1941692000009112
19479,1.17792,32.52184002945475,1.1941563000009132
19522,1.26909,52.68384116747927,1.1941434000009152
19565,1.45135,55.80671434468754,1.1941305000009172
19608,1.18543,69.79660600921576,1.1941176000009193
19651,1.61385,43.377701413604974,1.1941047000009213
19694,1.37579,44.00696203237791,1.1940918000009233
19737,1.43168,45.38263285320598,1.1940789000009253
19780,1.09618,46.21048990840018,1.1940660000009273
19823,1.36358,35.96492206763436,1.1940531000009293
19866,1.57957,35.453926742460595,1.1940402000009314
19909,1.49078,47.41210991978043,1.1940273000009334
19952,1.57926,43.39666848899351,1.1940144000009354
19995,1.54258,18.13587120240101,1.1940015000009374
20038,1.51151,25.81195818317732,1.1939886000009394
20081,1.36133,50.57738008903369,1.1939757000009414
20124,1.51246,29.31528857847349,1.1939628000009435
20167,1.46163,43.48704102466834,1.1939499000009455
20210,1.51692,38.97287708219438,1.1939370000009475
20253,1.49842,30.176616943176874,1.1939241000009495
20296,1.68744,31.86133952180656,1.1939112000009515
20339,1.6359,23.48012362070312,1.1938983000009535
20382,1.5269,12.630956498454742,1.1938854000009556
20425,1.71392,34.937352865701946,1.1938725000009576
20468,1.54512,38.502047328431644,1.1938596000009596
20511,1.131,42.2184783942697,1.1938467000009616
20554,1.58707,67.66113646252887,1.1938338000009636
20597,1.55897,39.71370873266465,1.1938209000009656
20640,1.35798,51.040399870577595,1.1938080000009677
20683,1.59552,34.723136484843074,1.1937951000009697
20726,1.41903,50.82506777940176,1.1937822000009717
20769,1.27112,35.38586841312521,1.1937693000009737
20812,1.37326,40.8227247877361,1.1937564000009757
20855,1.42957,34.87041024668355,1.1937435000009777
20898,1.53866,32.36117774381059,1.1937306000009797
20941,1.51267,40.05288466902454,1.1937177000009818
20984,1.28817,52.04230773521963,1.1937048000009838
21027,1.3257,38.67163529661159,1.1936919000009858
21070,1.50747,32.11795289471041,1.1936790000009878
21113,1.63692,58.830289303685184,1.1936661000009898
21156,1.34044,52.22863135815416,1.1936532000009918
21199,1.50625,38.63258543551751,1.1936403000009939
21242,1.33031,49.596670720414146,1.1936274000009959
21285,1.25592,49.533075232346675,1.193614500000998
21328,1.49795,35.55880351225607,1.193601600001
21371,1.45376,15.228330116368586,1.193588700001002
21414,1.41483,36.89319305135615,1.193575800001004
21457,1.20199,36.92889578149929,1.193562900001006
21500,1.36907,42.779680683707284,1.193550000001008
21543,1.42774,23.30607281125529,1.19353710000101
21586,1.56175,46.64115409075188,1.193524200001012
21629,1.65347,38.516551562552294,1.193511300001014
21672,1.2512,44.22229412355376,1.193498400001016
21715,1.25179,26.476921532093407,1.193485500001018
21758,1.29901,46.74156801927948,1.19347260000102
21801,1.22153,44.12299590534313,1.193459700001022
21844,1.31164,22.133461268116342,1.193446800001024
21887,1.55617,33.07746376730746,1.1934339000010261
21930,1.51374,37.02707828939294,1.1934210000010281
21973,1.61192,33.120976469669415,1.1934081000010301
22016,1.40833,32.76394916823796,1.1933952000010322
22059,1.22153,26.16005980207299,1.1933823000010342
22102,1.31628,33.05626527128496,1.1933694000010362
22145,1.45383,49.775184371129875,1.1933565000010382
22188,1.64202,65.28578919769271,1.1933436000010402
22231,1.35017,24.262236552901406,1.1933307000010422
22274,1.14509,21.963873299936402,1.1933178000010443
22317,1.11027,43.89092815941269,1.1933049000010463
22360,1.30869,46.13350589652902,1.1932920000010483
22403,1.1195,45.69837887290944,1.1932791000010503
22446,1.12518,52.82107353646698,1.1932662000010523
22489,1.17493,46.03532338863537,1.1932533000010543
22532,1.13493,64.64425576543306,1.1932404000010564
22575,1.21322,32.355599192225725,1.1932275000010584
22618,1.46682,8.235057849579936,1.1932146000010604
22661,1.25907,47.55380513003603,1.1932017000010624
22704,1.25116,32.283078021622465,1.1931888000010644
22747,1.31242,40.13991007374845,1.1931759000010664
22790,1.15773,35.94595499224581,1.1931630000010685
22833,1.60296,27.379531178524807,1.1931501000010705
22876,1.28255,20.6685336219304,1.1931372000010725
22919,1.30687,28.18284260674558,1.1931243000010745
22962,1.413,33.68217875910699,1.1931114000010765
23005,1.53137,21.846723716654207,1.1930985000010785
23048,1.33317,35.745127135190614,1.1930856000010805
23091,1.45907,32.989322652266566,1.1930727000010826
23134,1.68355,40.12429012931082,1.1930598000010846
23177,1.47329,24.012317441899384,1.1930469000010866
23220,1.39355,44.99882850416718,1.1930340000010886
23263,1.34008,50.24824554552655,1.1930211000010906
23306,1.26152,38.00332481674458,1.1930082000010926
23349,1.45139,41.84471543808366,1.1929953000010947
23392,1.37057,45.44288121032254,1.1929824000010967
23435,1.34989,35.43384395675507,1.1929695000010987
23478,1.33438,29.139006348391703,1.1929566000011007
23521,1.32259,35.420455432951385,1.1929437000011027
23564,1.19108,45.306764551651796,1.1929308000011047
