pose,start,finish_time,goal_state
"[652, 113]",1515858411.185753,1515858432.534513,4
"[652, 114]",1515858444.54171,1515858465.889139,4
"[652, 115]",1515858477.898573,1515858499.2469,4
"[652, 116]",1515858511.255245,1515858532.604471,4
"[652, 117]",1515858544.615824,1515858565.964093,4
"[652, 118]",1515858577.973812,1515858599.321993,4
"[652, 119]",1515858611.328572,1515858632.677802,4
"[652, 120]",1515858644.688744,1515858666.03714,4
"[652, 121]",1515858678.044306,1515858699.393081,4
"[652, 122]",1515858711.401055,1515858732.749482,4
"[652, 123]",1515858744.758621,1515858766.107157,4
"[652, 124]",1515858778.118112,1515858799.467153,4
"[652, 125]",1515858811.47689,1515858832.825917,4
"[652, 126]",1515858844.835784,1515858865.847573,4
"[652, 127]",1515858877.85645,1515858899.205369,4
"[652, 128]",1515858911.212921,1515858932.224019,4
"[652, 129]",1515858944.234485,1515858965.583315,4
"[652, 130]",1515858977.592299,1515858998.599975,4
"[652, 131]",1515859010.611048,1515859031.621494,4
"[652, 132]",1515859043.631725,1515859064.980112,4
"[652, 133]",1515859076.987766,1515859098.335203,4
"[652, 134]",1515859110.342501,1515859131.690585,4
"[652, 135]",1515859143.69864,1515859165.048772,4
"[652, 136]",1515859177.058393,1515859198.407252,4
"[652, 137]",1515859210.420619,1515859231.43194,4
"[652, 138]",1515859243.440681,1515859264.788214,4
"[652, 139]",1515859276.795149,1515859298.1478,4
"[652, 140]",1515859310.158528,1515859331.50457,4
"[652, 141]",1515859343.511806,1515859364.860111,4
"[652, 142]",1515859376.872098,1515859398.220318,4
"[652, 143]",1515859410.227231,1515859431.575429,4
"[652, 144]",1515859443.587236,1515859464.93614,4
"[652, 145]",1515859476.944328,1515859498.292516,4
"[652, 146]",1515859510.300801,1515859531.649509,4
"[652, 147]",1515859543.65863,1515859565.007495,4
"[652, 148]",1515859577.015131,1515859598.364814,4
"[652, 149]",1515859610.372416,1515859631.720952,4
"[652, 150]",1515859643.729229,1515859665.077922,4
"[652, 151]",1515859677.088783,1515859698.099506,4
"[652, 152]",1515859710.11026,1515859731.459102,4
"[652, 153]",1515859743.467297,1515859764.815521,4
"[652, 154]",1515859776.824073,1515859798.172966,4
"[652, 155]",1515859810.184845,1515859831.532325,4
"[652, 156]",1515859843.5385,1515859864.886806,4
"[652, 157]",1515859876.895425,1515859898.24378,4
"[652, 158]",1515859910.252016,1515859931.600423,4
"[652, 159]",1515859943.612234,1515859964.958878,4
"[652, 160]",1515859976.968132,1515859998.316591,4
"[652, 161]",1515860010.327805,1515860031.675945,4
"[652, 162]",1515860043.686352,1515860065.033882,4
"[652, 163]",1515860077.044519,1515860098.393318,4
"[652, 164]",1515860110.405173,1515860131.753903,4
"[652, 165]",1515860143.760562,1515860165.108637,4
"[652, 166]",1515860177.11667,1515860198.464877,4
"[652, 167]",1515860210.474057,1515860231.822709,4
"[652, 168]",1515860243.831042,1515860265.178724,4
"[652, 169]",1515860277.1857,1515860298.533455,4
"[652, 170]",1515860310.542116,1515860331.889161,4
"[652, 171]",1515860343.897193,1515860365.245019,4
"[652, 172]",1515860377.251953,1515860398.600769,4
"[652, 173]",1515860410.607417,1515860431.955061,4
"[652, 174]",1515860443.96311,1515860465.313292,4
"[652, 175]",1515860477.325476,1515860498.671156,4
"[652, 176]",1515860510.682102,1515860532.030625,4
"[652, 177]",1515860544.042018,1515860565.391181,4
"[652, 178]",1515860577.399917,1515860598.750521,4
"[652, 179]",1515860610.758604,1515860632.10736,4
"[652, 180]",1515860644.115544,1515860665.46455,4
"[652, 181]",1515860677.473859,1515860698.821817,4
"[652, 182]",1515860710.832324,1515860732.180846,4
"[652, 183]",1515860744.189046,1515860765.537371,4
"[652, 184]",1515860777.542544,1515860798.553156,4
"[652, 185]",1515860810.561238,1515860831.9102,4
"[652, 186]",1515860843.922078,1515860865.270056,4
"[652, 187]",1515860877.2801,1515860898.625517,4
"[652, 188]",1515860910.633579,1515860931.982782,4
"[652, 189]",1515860943.991324,1515860965.340156,4
"[652, 190]",1515860977.349314,1515860998.697065,4
"[652, 191]",1515861010.70696,1515861032.055519,4
