,actions,next_state,rewards
5491.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[5491.0, 5491.0, 410.0, 31.0, 1469.0, 711.0, 9717.0, 0.0]","[0.0, 0.0, 0.0045744122995905346, 0.0003458701982617233, 0.016389784556337793, 0.0079327003536801711, 0.10841357150029567, 0.0]"
443.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[545.0, 4946.0, 1519.0, 1468.0, 443.0, 2492.0, 1473.0, 3724.0]","[0.0060806212275044905, 0.055183032277499468, 0.016947639714824443, 0.016378627453168058, 0.0, 0.027803501098974663, 0.016434412969016723, 0.04154905220408573]"
545.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[0.0, 807.0, 4946.0, 1519.0, 443.0, 1473.0, 3724.0, 7058.0]","[0.0, 0.0090037822579745394, 0.055183032277499468, 0.016947639714824443, 0.0049425967041917237, 0.016434412969016723, 0.04154905220408573, 0.078746834171975588]"
1285.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[124.0, 1285.0, 1153.0, 807.0, 0.0, 7058.0, 839.0, 1576.0]","[0.0013834807930468932, 0.0, 0.012864139954702161, 0.0090037822579745394, 0.0, 0.078746834171975588, 0.0093608095594059967, 0.017583594595499224]"
124.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[31.0, 124.0, 124.0, 1153.0, 1285.0, 839.0, 1576.0, 1469.0]","[0.0003458701982617233, 0.0, 0.0, 0.012864139954702161, 0.014336877573106919, 0.0093608095594059967, 0.017583594595499224, 0.016389784556337793]"
31.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[410.0, 31.0, 31.0, 31.0, 124.0, 1576.0, 1469.0, 5491.0]","[0.0045744122995905346, 0.0, 0.0, 0.0, 0.0013834807930468932, 0.017583594595499224, 0.016389784556337793, 0.061263653505003964]"
410.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[410.0, 410.0, 410.0, 410.0, 31.0, 1469.0, 5491.0, 410.0]","[0.0, 0.0, 0.0, 0.0, 0.0003458701982617233, 0.016389784556337793, 0.061263653505003964, 0.0]"
1468.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[1519.0, 1468.0, 1468.0, 1468.0, 1468.0, 1468.0, 1468.0, 443.0]","[0.016947639714824443, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0049425967041917237]"
1519.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[4946.0, 1519.0, 1519.0, 1519.0, 1468.0, 1519.0, 443.0, 545.0]","[0.055183032277499468, 0.0, 0.0, 0.0, 0.016378627453168058, 0.0, 0.0049425967041917237, 0.0060806212275044905]"
4946.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[807.0, 4946.0, 4946.0, 4946.0, 1519.0, 443.0, 545.0, 0.0]","[0.0090037822579745394, 0.0, 0.0, 0.0, 0.016947639714824443, 0.0049425967041917237, 0.0060806212275044905, 0.0]"
807.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[1153.0, 807.0, 807.0, 807.0, 4946.0, 545.0, 0.0, 1285.0]","[0.012864139954702161, 0.0, 0.0, 0.0, 0.055183032277499468, 0.0060806212275044905, 0.0, 0.014336877573106919]"
1153.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[1153.0, 1153.0, 1153.0, 1153.0, 807.0, 0.0, 1285.0, 124.0]","[0.0, 0.0, 0.0, 0.0, 0.0090037822579745394, 0.0, 0.014336877573106919, 0.0013834807930468932]"
