,actions,next_state,start,positions,rewards,possibility
1268.71947594,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[2061.3476349475877, 125.47440010948192, 301.65227617190226, 380.81814921064728, 1927.001617792158, 98.203857710181765, 188.7078725884781, 2977.6043093016065, 1268.7194759446872]",161,"[162.0, 182.0, 181.0, 180.0, 160.0, 145.0, 146.0, 147.0, 161.0]","[12.085631451552601, 0.73565338064212882, 1.7685800175225022, 2.2327276211900435, 11.297963994207022, 0.5757668484850913, 1.1063897042135156, 17.457622227649654, 7.4384716782932694]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
2061.34763495,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[0.00011392416612470156, 152.47411106948394, 125.47440010948192, 301.65227617190226, 1268.7194759446872, 188.7078725884781, 2977.6043093016065, 209.37007238162846, 2061.3476349475877]",162,"[163.0, 183.0, 182.0, 181.0, 161.0, 146.0, 147.0, 148.0, 162.0]","[6.6793463745071053e-07, 0.89395203460465011, 0.73565338064212882, 1.7685800175225022, 7.4384716782932694, 1.1063897042135156, 17.457622227649654, 1.2275316831038017, 12.085631451552601]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
0.000113924166125,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[0.00011086965193196624, 134.91421246790705, 152.47411106948394, 125.47440010948192, 2061.3476349475877, 2977.6043093016065, 209.37007238162846, 1367.5766714237786, 0.00011392416612470156]",163,"[164.0, 184.0, 183.0, 182.0, 162.0, 147.0, 148.0, 149.0, 163.0]","[6.5002609443201954e-07, 0.79099877275433239, 0.89395203460465011, 0.73565338064212882, 12.085631451552601, 17.457622227649654, 1.2275316831038017, 8.0180690303550275, 6.6793463745071053e-07]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
0.000110869651932,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[438.62136913265198, 245.02230023771943, 134.91421246790705, 152.47411106948394, 0.00011392416612470156, 209.37007238162846, 1367.5766714237786, 0.0, 0.00011086965193196624]",164,"[165.0, 185.0, 184.0, 183.0, 163.0, 148.0, 149.0, 150.0, 164.0]","[2.5716265050302525, 1.4365598348771673, 0.79099877275433239, 0.89395203460465011, 6.6793463745071053e-07, 1.2275316831038017, 8.0180690303550275, 0.0, 6.5002609443201954e-07]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
438.621369133,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[204.628614903992, 393.08948702979751, 245.02230023771943, 134.91421246790705, 0.00011086965193196624, 1367.5766714237786, 0.0, 438.62136913265198, 438.62136913265198]",165,"[166.0, 186.0, 185.0, 184.0, 164.0, 149.0, 150.0, 165.0, 165.0]","[1.1997326323049882, 2.304674178764996, 1.4365598348771673, 0.79099877275433239, 6.5002609443201954e-07, 8.0180690303550275, 0.0, -100.0, 2.5716265050302525]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0]"
204.628614904,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[59.566045620709183, 249.92678911597363, 393.08948702979751, 245.02230023771943, 438.62136913265198, 0.0, 204.628614903992, 204.628614903992, 204.628614903992]",166,"[167.0, 187.0, 186.0, 185.0, 165.0, 150.0, 166.0, 166.0, 166.0]","[0.34923428838171883, 1.4653147348445017, 2.304674178764996, 1.4365598348771673, 2.5716265050302525, 0.0, -100.0, -100.0, 1.1997326323049882]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0]"
59.5660456207,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[227.57638320125412, 2424.8708193134789, 249.92678911597363, 393.08948702979751, 204.628614903992, 59.566045620709183, 59.566045620709183, 59.566045620709183, 59.566045620709183]",167,"[168.0, 188.0, 187.0, 186.0, 166.0, 167.0, 167.0, 167.0, 167.0]","[1.3342748441931755, 14.216959111116767, 1.4653147348445017, 2.304674178764996, 1.1997326323049882, -100.0, -100.0, -100.0, 0.34923428838171883]","[1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0]"
227.576383201,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[14.857976741531274, 2127.042757475796, 2424.8708193134789, 249.92678911597363, 59.566045620709183, 227.57638320125412, 227.57638320125412, 227.57638320125412, 227.57638320125412]",168,"[169.0, 189.0, 188.0, 187.0, 167.0, 168.0, 168.0, 168.0, 168.0]","[0.087111959171531556, 12.470800369972663, 14.216959111116767, 1.4653147348445017, 0.34923428838171883, -100.0, -100.0, -100.0, 1.3342748441931755]","[1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0]"
14.8579767415,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[487.14615279198273, 1301.3596809376047, 2127.042757475796, 2424.8708193134789, 227.57638320125412, 14.857976741531274, 14.857976741531274, 14.857976741531274, 14.857976741531274]",169,"[170.0, 190.0, 189.0, 188.0, 168.0, 169.0, 169.0, 169.0, 169.0]","[2.8561261409142817, 7.6298404126880177, 12.470800369972663, 14.216959111116767, 1.3342748441931755, -100.0, -100.0, -100.0, 0.087111959171531556]","[1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0]"
487.146152792,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[487.14615279198273, 487.14615279198273, 1301.3596809376047, 2127.042757475796, 14.857976741531274, 487.14615279198273, 487.14615279198273, 487.14615279198273, 487.14615279198273]",170,"[170.0, 170.0, 190.0, 189.0, 169.0, 170.0, 170.0, 170.0, 170.0]","[-100.0, -100.0, 7.6298404126880177, 12.470800369972663, 0.087111959171531556, -100.0, -100.0, -100.0, 2.8561261409142817]","[-1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0]"
