,actions,next_state,start,positions,rewards,possibility
3242.28996322,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[7789.3216625243222, 4045.8996109708119, 356.01840599173744, 2084.1954157750629, 1397.3265986048805, 117.10821593174538, 6503.1124620813889, 5662.6011939136624, 3242.2899632248409]",221,"[222.0, 236.0, 235.0, 234.0, 220.0, 206.0, 207.0, 208.0, 221.0]","[28.736478867162266, 14.926191741277282, 1.3134282859730873, 7.689044067676484, 5.1550376285680182, 0.43203733496904723, 23.991377161438141, 20.890550755524107, 11.961503330603023]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
7789.32166252,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[4657.762238106362, 1773.2832490996047, 4045.8996109708119, 356.01840599173744, 3242.2899632248409, 6503.1124620813889, 5662.6011939136624, 10401.300864693019, 7789.3216625243222]",222,"[223.0, 237.0, 236.0, 235.0, 221.0, 207.0, 208.0, 209.0, 222.0]","[17.18348425223888, 6.5420223764041427, 14.926191741277282, 1.3134282859730873, 11.961503330603023, 23.991377161438141, 20.890550755524107, 38.372630562592875, 28.736478867162266]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
4657.76223811,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[8820.6108346263663, 6034.1849713569009, 1773.2832490996047, 4045.8996109708119, 7789.3216625243222, 5662.6011939136624, 10401.300864693019, 4917.069395687734, 4657.762238106362]",223,"[224.0, 238.0, 237.0, 236.0, 222.0, 208.0, 209.0, 210.0, 223.0]","[32.541125893439968, 22.261403036442424, 6.5420223764041427, 14.926191741277282, 28.736478867162266, 20.890550755524107, 38.372630562592875, 18.140123992743082, 17.18348425223888]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
8820.61083463,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[3039.0995480755473, 617.01941736611218, 6034.1849713569009, 1773.2832490996047, 4657.762238106362, 10401.300864693019, 4917.069395687734, 5460.0915608473979, 8820.6108346263663]",224,"[225.0, 239.0, 238.0, 237.0, 223.0, 209.0, 210.0, 211.0, 224.0]","[11.211890293175149, 2.2763170165479982, 22.261403036442424, 6.5420223764041427, 17.18348425223888, 38.372630562592875, 18.140123992743082, 20.143449269267141, 32.541125893439968]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
3039.09954808,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[368.74319393915891, 5639.6059544803011, 617.01941736611218, 6034.1849713569009, 8820.6108346263663, 4917.069395687734, 5460.0915608473979, 0.0, 3039.0995480755473]",225,"[226.0, 240.0, 239.0, 238.0, 224.0, 210.0, 211.0, 212.0, 225.0]","[1.360372758904469, 20.805716383463011, 2.2763170165479982, 22.261403036442424, 32.541125893439968, 18.140123992743082, 20.143449269267141, 0.0, 11.211890293175149]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
368.743193939,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[523.67040100152008, 4057.6890955365575, 5639.6059544803011, 617.01941736611218, 3039.0995480755473, 5460.0915608473979, 0.0, 1787.4761348389152, 368.74319393915891]",226,"[227.0, 241.0, 240.0, 239.0, 225.0, 211.0, 212.0, 213.0, 226.0]","[1.9319324664866584, 14.969685679357699, 20.805716383463011, 2.2763170165479982, 11.211890293175149, 20.143449269267141, 0.0, 6.5943829770805777, 1.360372758904469]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
523.670401002,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[1154.5760044174085, 1025.3319715581092, 4057.6890955365575, 5639.6059544803011, 368.74319393915891, 0.0, 1787.4761348389152, 3122.694838706941, 523.67040100152008]",227,"[228.0, 242.0, 241.0, 240.0, 226.0, 212.0, 213.0, 214.0, 227.0]","[4.2594786027518099, 3.7826696353115743, 14.969685679357699, 20.805716383463011, 1.360372758904469, 0.0, 6.5943829770805777, 11.520291256275808, 1.9319324664866584]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
1154.57600442,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[1.7908220478542096, 10.780980043498213, 1025.3319715581092, 4057.6890955365575, 523.67040100152008, 1787.4761348389152, 3122.694838706941, 605.23357218040167, 1154.5760044174085]",228,"[229.0, 243.0, 242.0, 241.0, 227.0, 213.0, 214.0, 215.0, 228.0]","[0.0066067267680833246, 0.039773348516061124, 3.7826696353115743, 14.969685679357699, 1.9319324664866584, 6.5943829770805777, 11.520291256275808, 2.232836504921385, 4.2594786027518099]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
1.79082204785,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[1.7908220478542096, 1.7908220478542096, 10.780980043498213, 1025.3319715581092, 1154.5760044174085, 3122.694838706941, 605.23357218040167, 1.7908220478542096, 1.7908220478542096]",229,"[229.0, 229.0, 243.0, 242.0, 228.0, 214.0, 215.0, 229.0, 229.0]","[-100.0, -100.0, 0.039773348516061124, 3.7826696353115743, 4.2594786027518099, 11.520291256275808, 2.232836504921385, -100.0, 0.0066067267680833246]","[-1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0]"
539.733904048,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[7954.8005803023661, 5225.8059294987697, 353.67905862771482, 539.73390404764643, 539.73390404764643, 539.73390404764643, 2828.0058306354808, 5367.3194107563686, 539.73390404764643]",230,"[231.0, 245.0, 244.0, 230.0, 230.0, 230.0, 216.0, 217.0, 230.0]","[29.346966099518845, 19.279119307581134, 1.3047979316236684, -100.0, -100.0, -100.0, 10.433120277887152, 19.801192902659718, 1.9911941757621243]","[1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0]"
