,actions,next_state,start,positions,rewards,possibility
218.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[2943.0, 7058.0, 3724.0, 1473.0, 872.0, 491.0, 258.0, 0.0, 218.0]",22,"[23.0, 33.0, 32.0, 31.0, 21.0, 11.0, 12.0, 13.0, 22.0]","[4.3850369368214963, 10.516340706791071, 5.5487181626650539, 2.1947534515589751, 1.2992702035026655, 0.7315844838529918, 0.3844171014950547, 0.0, 0.32481755087566638]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
2943.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[652.0, 839.0, 7058.0, 3724.0, 218.0, 258.0, 0.0, 989.0, 2943.0]",23,"[24.0, 34.0, 33.0, 32.0, 22.0, 12.0, 13.0, 14.0, 23.0]","[0.97147267509602975, 1.2501005742416702, 10.516340706791071, 5.5487181626650539, 0.32481755087566638, 0.3844171014950547, 0.0, 1.4735988890643765, 4.3850369368214963]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
652.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[464.0, 1576.0, 839.0, 7058.0, 2943.0, 0.0, 989.0, 84.0, 652.0]",24,"[25.0, 35.0, 34.0, 33.0, 23.0, 13.0, 14.0, 15.0, 24.0]","[0.69135478718490462, 2.3482222944039002, 1.2501005742416702, 10.516340706791071, 4.3850369368214963, 0.0, 1.4735988890643765, 0.1251590563007155, 0.97147267509602975]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
464.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[711.0, 1469.0, 1576.0, 839.0, 652.0, 989.0, 84.0, 75.0, 464.0]",25,"[26.0, 36.0, 35.0, 34.0, 24.0, 14.0, 15.0, 16.0, 25.0]","[1.0593820122596276, 2.1887934964970364, 2.3482222944039002, 1.2501005742416702, 0.97147267509602975, 1.4735988890643765, 0.1251590563007155, 0.11174915741135312, 0.69135478718490462]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
711.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[9717.0, 5491.0, 1469.0, 1576.0, 464.0, 84.0, 75.0, 5004.0, 711.0]",26,"[27.0, 37.0, 36.0, 35.0, 25.0, 15.0, 16.0, 17.0, 26.0]","[14.478220834214911, 8.1815283112765336, 2.1887934964970364, 2.3482222944039002, 0.69135478718490462, 0.1251590563007155, 0.11174915741135312, 7.4559037824854801, 1.0593820122596276]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
9717.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[0.0, 9717.0, 5491.0, 1469.0, 711.0, 75.0, 5004.0, 6345.0, 9717.0]",27,"[28.0, 27.0, 37.0, 36.0, 26.0, 16.0, 17.0, 18.0, 27.0]","[0.0, -100.0, 8.1815283112765336, 2.1887934964970364, 1.0593820122596276, 0.11174915741135312, 7.4559037824854801, 9.4539787170004743, 14.478220834214911]","[1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
0.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[0.0, 0.0, 0.0, 5491.0, 9717.0, 5004.0, 6345.0, 0.0, 0.0]",28,"[28.0, 28.0, 28.0, 37.0, 27.0, 17.0, 18.0, 28.0, 28.0]","[-100.0, -100.0, -100.0, 8.1815283112765336, 14.478220834214911, 7.4559037824854801, 9.4539787170004743, -100.0, 0.0]","[-1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0]"
4144.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[2492.0, 4144.0, 4144.0, 4144.0, 4144.0, 4144.0, 4583.0, 1603.0, 4144.0]",29,"[30.0, 29.0, 29.0, 29.0, 29.0, 29.0, 19.0, 20.0, 29.0]","[3.7130520035878929, -100.0, -100.0, -100.0, -100.0, -100.0, 6.8286185122164182, 2.3884519910719875, 6.1745134441686309]","[1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0]"
2492.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[1473.0, 443.0, 2492.0, 2492.0, 4144.0, 4583.0, 1603.0, 872.0, 2492.0]",30,"[31.0, 38.0, 30.0, 30.0, 29.0, 19.0, 20.0, 21.0, 30.0]","[2.1947534515589751, 0.6600650231097257, -100.0, -100.0, 6.1745134441686309, 6.8286185122164182, 2.3884519910719875, 1.2992702035026655, 3.7130520035878929]","[1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
1473.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[3724.0, 545.0, 443.0, 1473.0, 2492.0, 1603.0, 872.0, 218.0, 1473.0]",31,"[32.0, 39.0, 38.0, 31.0, 30.0, 20.0, 21.0, 22.0, 31.0]","[5.5487181626650539, 0.81204387718916604, 0.6600650231097257, -100.0, 3.7130520035878929, 2.3884519910719875, 1.2992702035026655, 0.32481755087566638, 2.1947534515589751]","[1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
3724.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[7058.0, 0.0, 545.0, 443.0, 1473.0, 872.0, 218.0, 2943.0, 3724.0]",32,"[33.0, 40.0, 39.0, 38.0, 31.0, 21.0, 22.0, 23.0, 32.0]","[10.516340706791071, 0.0, 0.81204387718916604, 0.6600650231097257, 2.1947534515589751, 1.2992702035026655, 0.32481755087566638, 4.3850369368214963, 5.5487181626650539]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
7058.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[839.0, 1285.0, 0.0, 545.0, 3724.0, 218.0, 2943.0, 652.0, 7058.0]",33,"[34.0, 41.0, 40.0, 39.0, 32.0, 22.0, 23.0, 24.0, 33.0]","[1.2501005742416702, 1.91463556364785, 0.0, 0.81204387718916604, 5.5487181626650539, 0.32481755087566638, 4.3850369368214963, 0.97147267509602975, 10.516340706791071]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
839.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[1576.0, 124.0, 1285.0, 0.0, 7058.0, 2943.0, 652.0, 464.0, 839.0]",34,"[35.0, 42.0, 41.0, 40.0, 33.0, 23.0, 24.0, 25.0, 34.0]","[2.3482222944039002, 0.18475860692010382, 1.91463556364785, 0.0, 10.516340706791071, 4.3850369368214963, 0.97147267509602975, 0.69135478718490462, 1.2501005742416702]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
1576.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[1469.0, 31.0, 124.0, 1285.0, 839.0, 652.0, 464.0, 711.0, 1576.0]",35,"[36.0, 43.0, 42.0, 41.0, 34.0, 24.0, 25.0, 26.0, 35.0]","[2.1887934964970364, 0.046189651730025955, 0.18475860692010382, 1.91463556364785, 1.2501005742416702, 0.97147267509602975, 0.69135478718490462, 1.0593820122596276, 2.3482222944039002]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
1469.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[5491.0, 410.0, 31.0, 124.0, 1576.0, 464.0, 711.0, 9717.0, 1469.0]",36,"[37.0, 44.0, 43.0, 42.0, 35.0, 25.0, 26.0, 27.0, 36.0]","[8.1815283112765336, 0.61089539384873037, 0.046189651730025955, 0.18475860692010382, 2.3482222944039002, 0.69135478718490462, 1.0593820122596276, 14.478220834214911, 2.1887934964970364]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
5491.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[5491.0, 5491.0, 410.0, 31.0, 1469.0, 711.0, 9717.0, 0.0, 5491.0]",37,"[37.0, 37.0, 44.0, 43.0, 36.0, 26.0, 27.0, 28.0, 37.0]","[-100.0, -100.0, 0.61089539384873037, 0.046189651730025955, 2.1887934964970364, 1.0593820122596276, 14.478220834214911, 0.0, 8.1815283112765336]","[-1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
443.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[545.0, 4946.0, 1519.0, 1468.0, 443.0, 2492.0, 1473.0, 3724.0, 443.0]",38,"[39.0, 47.0, 46.0, 45.0, 38.0, 30.0, 31.0, 32.0, 38.0]","[0.81204387718916604, 7.3694844340873669, 2.2632929347712718, 2.1873035077315519, -100.0, 3.7130520035878929, 2.1947534515589751, 5.5487181626650539, 0.6600650231097257]","[1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0]"
545.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[0.0, 807.0, 4946.0, 1519.0, 443.0, 1473.0, 3724.0, 7058.0, 545.0]",39,"[40.0, 48.0, 47.0, 46.0, 38.0, 31.0, 32.0, 33.0, 39.0]","[0.0, 1.2024209337461595, 7.3694844340873669, 2.2632929347712718, 0.6600650231097257, 2.1947534515589751, 5.5487181626650539, 10.516340706791071, 0.81204387718916604]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
0.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[1285.0, 1153.0, 807.0, 4946.0, 545.0, 3724.0, 7058.0, 839.0, 0.0]",40,"[41.0, 49.0, 48.0, 47.0, 39.0, 32.0, 33.0, 34.0, 40.0]","[1.91463556364785, 1.7179570466038685, 1.2024209337461595, 7.3694844340873669, 0.81204387718916604, 5.5487181626650539, 10.516340706791071, 1.2501005742416702, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
1285.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[124.0, 61.0, 1153.0, 807.0, 0.0, 7058.0, 839.0, 1576.0, 1285.0]",41,"[42.0, 50.0, 49.0, 48.0, 40.0, 33.0, 34.0, 35.0, 41.0]","[0.18475860692010382, 0.090889314694567208, 1.7179570466038685, 1.2024209337461595, 0.0, 10.516340706791071, 1.2501005742416702, 2.3482222944039002, 1.91463556364785]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
124.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[31.0, 372.0, 61.0, 1153.0, 1285.0, 839.0, 1576.0, 1469.0, 124.0]",42,"[43.0, 51.0, 50.0, 49.0, 41.0, 34.0, 35.0, 36.0, 42.0]","[0.046189651730025955, 0.55427582076031146, 0.090889314694567208, 1.7179570466038685, 1.91463556364785, 1.2501005742416702, 2.3482222944039002, 2.1887934964970364, 0.18475860692010382]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
