,actions,next_state,start,positions,rewards
545.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[0.0, 807.0, 4946.0, 1519.0, 443.0, 1473.0, 3724.0, 7058.0]",39,"[40.0, 48.0, 47.0, 46.0, 38.0, 31.0, 32.0, 33.0]","[0.0, 0.90037822579745397, 5.5183032277499473, 1.6947639714824443, 0.49425967041917235, 1.6434412969016725, 4.1549052204085735, 7.8746834171975593]"
0.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[1285.0, 1153.0, 807.0, 4946.0, 545.0, 3724.0, 7058.0, 839.0]",40,"[41.0, 49.0, 48.0, 47.0, 39.0, 32.0, 33.0, 34.0]","[1.4336877573106919, 1.2864139954702161, 0.90037822579745397, 5.5183032277499473, 0.60806212275044902, 4.1549052204085735, 7.8746834171975593, 0.93608095594059959]"
1285.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[124.0, 1285.0, 1153.0, 807.0, 0.0, 7058.0, 839.0, 1576.0]",41,"[42.0, 41.0, 49.0, 48.0, 40.0, 33.0, 34.0, 35.0]","[0.13834807930468934, -10.0, 1.2864139954702161, 0.90037822579745397, 0.0, 7.8746834171975593, 0.93608095594059959, 1.7583594595499226]"
124.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[31.0, 124.0, 124.0, 1153.0, 1285.0, 839.0, 1576.0, 1469.0]",42,"[43.0, 42.0, 42.0, 49.0, 41.0, 34.0, 35.0, 36.0]","[0.034587019826172336, -10.0, -10.0, 1.2864139954702161, 1.4336877573106919, 0.93608095594059959, 1.7583594595499226, 1.6389784556337792]"
31.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[410.0, 31.0, 31.0, 31.0, 124.0, 1576.0, 1469.0, 5491.0]",43,"[44.0, 43.0, 43.0, 43.0, 42.0, 35.0, 36.0, 37.0]","[0.45744122995905345, -10.0, -10.0, -10.0, 0.13834807930468934, 1.7583594595499226, 1.6389784556337792, 6.1263653505003957]"
410.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[410.0, 410.0, 410.0, 410.0, 31.0, 1469.0, 5491.0, 410.0]",44,"[44.0, 44.0, 44.0, 44.0, 43.0, 36.0, 37.0, 44.0]","[-10.0, -10.0, -10.0, -10.0, 0.034587019826172336, 1.6389784556337792, 6.1263653505003957, -10.0]"
1468.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[1519.0, 1468.0, 1468.0, 1468.0, 1468.0, 1468.0, 1468.0, 443.0]",45,"[46.0, 45.0, 45.0, 45.0, 45.0, 45.0, 45.0, 38.0]","[1.6947639714824443, -10.0, -10.0, -10.0, -10.0, -10.0, -10.0, 0.49425967041917235]"
1519.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[4946.0, 1519.0, 1519.0, 1519.0, 1468.0, 1519.0, 443.0, 545.0]",46,"[47.0, 46.0, 46.0, 46.0, 45.0, 46.0, 38.0, 39.0]","[5.5183032277499473, -10.0, -10.0, -10.0, 1.637862745316806, -10.0, 0.49425967041917235, 0.60806212275044902]"
4946.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[807.0, 4946.0, 4946.0, 4946.0, 1519.0, 443.0, 545.0, 0.0]",47,"[48.0, 47.0, 47.0, 47.0, 46.0, 38.0, 39.0, 40.0]","[0.90037822579745397, -10.0, -10.0, -10.0, 1.6947639714824443, 0.49425967041917235, 0.60806212275044902, 0.0]"
807.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[1153.0, 807.0, 807.0, 807.0, 4946.0, 545.0, 0.0, 1285.0]",48,"[49.0, 48.0, 48.0, 48.0, 47.0, 39.0, 40.0, 41.0]","[1.2864139954702161, -10.0, -10.0, -10.0, 5.5183032277499473, 0.60806212275044902, 0.0, 1.4336877573106919]"
1153.0,"[0, 1, 2, 3, 4, 5, 6, 7]","[1153.0, 1153.0, 1153.0, 1153.0, 807.0, 0.0, 1285.0, 124.0]",49,"[49.0, 49.0, 49.0, 49.0, 48.0, 40.0, 41.0, 42.0]","[-10.0, -10.0, -10.0, -10.0, 0.90037822579745397, 0.0, 1.4336877573106919, 0.13834807930468934]"
