,actions,next_state,start,positions,rewards,possibility
151.482467946,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[1067.767266808366, 151.48246794610074, 151.48246794610074, 13.869623840704966, 479.96076605819945, 178.68005734498774, 1160.1846199058198, 395.59489427017206, 151.48246794610074]",85,"[86.0, 85.0, 85.0, 99.0, 84.0, 69.0, 70.0, 71.0, 85.0]","[16.807862743557632, -100.0, -100.0, 0.21832354396492462, 7.5551245378706753, 2.8126259084926186, 18.262616259862682, 6.2271104309274268, 2.3845051336925671]","[1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
1067.76726681,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[1089.426573343899, 1067.767266808366, 1067.767266808366, 1067.767266808366, 151.48246794610074, 1160.1846199058198, 395.59489427017206, 117.37025328603359, 1067.767266808366]",86,"[87.0, 86.0, 86.0, 86.0, 85.0, 70.0, 71.0, 72.0, 86.0]","[17.148804691008447, -100.0, -100.0, -100.0, 2.3845051336925671, 18.262616259862682, 6.2271104309274268, 1.8475403477247614, 16.807862743557632]","[1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
1089.42657334,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[2544.818794550637, 1089.426573343899, 1089.426573343899, 1089.426573343899, 1067.767266808366, 395.59489427017206, 117.37025328603359, 2317.5377836104285, 1089.426573343899]",87,"[88.0, 87.0, 87.0, 87.0, 86.0, 71.0, 72.0, 73.0, 87.0]","[40.058322010454951, -100.0, -100.0, -100.0, 16.807862743557632, 6.2271104309274268, 1.8475403477247614, 36.480662201198371, 17.148804691008447]","[1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
2544.81879455,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[1502.3027302127027, 2544.818794550637, 2544.818794550637, 2544.818794550637, 1089.426573343899, 117.37025328603359, 2317.5377836104285, 252.70399761093989, 2544.818794550637]",88,"[89.0, 88.0, 88.0, 88.0, 87.0, 72.0, 73.0, 74.0, 88.0]","[23.647941713143698, -100.0, -100.0, -100.0, 17.148804691008447, 1.8475403477247614, 36.480662201198371, 3.9778463328332054, 40.058322010454951]","[1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
1502.30273021,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[3285.0191706740852, 1502.3027302127027, 1502.3027302127027, 1502.3027302127027, 2544.818794550637, 2317.5377836104285, 252.70399761093989, 7382.5540449131713, 1502.3027302127027]",89,"[90.0, 89.0, 89.0, 89.0, 88.0, 73.0, 74.0, 75.0, 89.0]","[51.709911932105442, -100.0, -100.0, -100.0, 40.058322010454951, 36.480662201198371, 3.9778463328332054, 116.20973871459435, 23.647941713143698]","[1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
3285.01917067,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[3285.0191706740852, 3285.0191706740852, 3285.0191706740852, 3285.0191706740852, 1502.3027302127027, 252.70399761093989, 7382.5540449131713, 3285.0191706740852, 3285.0191706740852]",90,"[90.0, 90.0, 90.0, 90.0, 89.0, 74.0, 75.0, 90.0, 90.0]","[-100.0, -100.0, -100.0, -100.0, 23.647941713143698, 3.9778463328332054, 116.20973871459435, -100.0, 51.709911932105442]","[-1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0]"
4825.25439077,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[1857.9388464344015, 4825.2543907714835, 4825.2543907714835, 4825.2543907714835, 4825.2543907714835, 4825.2543907714835, 1332.0646357326304, 1115.5358498551316, 4825.2543907714835]",91,"[92.0, 91.0, 91.0, 91.0, 91.0, 91.0, 76.0, 77.0, 91.0]","[29.246055847109762, -100.0, -100.0, -100.0, -100.0, -100.0, 20.968201834716261, 17.559794191788065, 75.95495387797034]","[1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0]"
1857.93884643,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[0.00067815258311571002, 1857.9388464344015, 1857.9388464344015, 1857.9388464344015, 4825.2543907714835, 1332.0646357326304, 1115.5358498551316, 936.48231658950749, 1857.9388464344015]",92,"[93.0, 92.0, 92.0, 92.0, 91.0, 76.0, 77.0, 78.0, 92.0]","[1.0674887581324952e-05, -100.0, -100.0, -100.0, 75.95495387797034, 20.968201834716261, 17.559794191788065, 14.741289350491259, 29.246055847109762]","[1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
0.000678152583116,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[42.169975174249508, 0.00067815258311571002, 0.00067815258311571002, 0.00067815258311571002, 1857.9388464344015, 1115.5358498551316, 936.48231658950749, 172.65836375406951, 0.00067815258311571002]",93,"[94.0, 93.0, 93.0, 93.0, 92.0, 77.0, 78.0, 79.0, 93.0]","[0.66380303710436339, -100.0, -100.0, -100.0, 29.246055847109762, 17.559794191788065, 14.741289350491259, 2.717837650314932, 1.0674887581324952e-05]","[1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
42.1699751742,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[359.00041991273696, 42.169975174249508, 42.169975174249508, 42.169975174249508, 0.00067815258311571002, 936.48231658950749, 172.65836375406951, 78.820494406222437, 42.169975174249508]",94,"[95.0, 94.0, 94.0, 94.0, 93.0, 78.0, 79.0, 80.0, 94.0]","[5.651072073794686, -100.0, -100.0, -100.0, 1.0674887581324952e-05, 14.741289350491259, 2.717837650314932, 1.2407236038608622, 0.66380303710436339]","[1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
359.000419913,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[2366.0154486774231, 359.00041991273696, 359.00041991273696, 359.00041991273696, 42.169975174249508, 172.65836375406951, 78.820494406222437, 1.7314475497443772e-23, 359.00041991273696]",95,"[96.0, 95.0, 95.0, 95.0, 94.0, 79.0, 80.0, 81.0, 95.0]","[37.243755401282797, -100.0, -100.0, -100.0, 0.66380303710436339, 2.717837650314932, 1.2407236038608622, 2.7254939974663633e-25, 5.651072073794686]","[1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
2366.01544868,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[948.95103278591432, 2366.0154486774231, 2366.0154486774231, 2366.0154486774231, 359.00041991273696, 78.820494406222437, 1.7314475497443772e-23, 2071.0291201197479, 2366.0154486774231]",96,"[97.0, 96.0, 96.0, 96.0, 95.0, 80.0, 81.0, 82.0, 96.0]","[14.937561025913572, -100.0, -100.0, -100.0, 5.651072073794686, 1.2407236038608622, 2.7254939974663633e-25, 32.600337424588787, 37.243755401282797]","[1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
948.951032786,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[1082.516287125537, 948.95103278591432, 948.95103278591432, 948.95103278591432, 2366.0154486774231, 1.7314475497443772e-23, 2071.0291201197479, 249.8589097763448, 948.95103278591432]",97,"[98.0, 97.0, 97.0, 97.0, 96.0, 81.0, 82.0, 83.0, 97.0]","[17.040028981275277, -100.0, -100.0, -100.0, 37.243755401282797, 2.7254939974663633e-25, 32.600337424588787, 3.9330614370008234, 14.937561025913572]","[1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
1082.51628713,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[13.869623840704966, 1082.516287125537, 1082.516287125537, 1082.516287125537, 948.95103278591432, 2071.0291201197479, 249.8589097763448, 479.96076605819945, 1082.516287125537]",98,"[99.0, 98.0, 98.0, 98.0, 97.0, 82.0, 83.0, 84.0, 98.0]","[0.21832354396492462, -100.0, -100.0, -100.0, 14.937561025913572, 32.600337424588787, 3.9330614370008234, 7.5551245378706753, 17.040028981275277]","[1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
13.8696238407,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[13.869623840704966, 13.869623840704966, 13.869623840704966, 13.869623840704966, 1082.516287125537, 249.8589097763448, 479.96076605819945, 151.48246794610074, 13.869623840704966]",99,"[99.0, 99.0, 99.0, 99.0, 98.0, 83.0, 84.0, 85.0, 99.0]","[-100.0, -100.0, -100.0, -100.0, 17.040028981275277, 3.9330614370008234, 7.5551245378706753, 2.3845051336925671, 0.21832354396492462]","[-1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
