,actions,next_state,start,positions,rewards,possibility
213.989853857,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[3.0065688066740663, 0.77624029233491476, 5.056038019558895, 8.1819157635790293e-06, 257.4585810639955, 657.65778949723313, 1069.9378367705403, 1127.6417815348823, 213.98985385684969]",402,"[403.0, 427.0, 426.0, 425.0, 401.0, 376.0, 377.0, 378.0, 402.0]","[0.02904466026116231, 0.0074987924845908984, 0.048843354663836144, 7.9040587100843729e-08, 2.4871531300814538, 6.3532379573859084, 10.336028532119384, 10.893471776953421, 2.0672277949572142]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
3.00656880667,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[1475.9320631103301, 55.921005309362286, 0.77624029233491476, 5.056038019558895, 213.98985385684969, 1069.9378367705403, 1127.6417815348823, 62.785161978740533, 3.0065688066740663]",403,"[404.0, 428.0, 427.0, 426.0, 402.0, 377.0, 378.0, 379.0, 403.0]","[14.258095556115807, 0.54021933476713446, 0.0074987924845908984, 0.048843354663836144, 2.0672277949572142, 10.336028532119384, 10.893471776953421, 0.60652984061650062, 0.02904466026116231]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
1475.93206311,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[1302.024782244712, 66.28207243806601, 55.921005309362286, 0.77624029233491476, 3.0065688066740663, 1127.6417815348823, 62.785161978740533, 318.18411369080741, 1475.9320631103301]",404,"[405.0, 429.0, 428.0, 427.0, 403.0, 378.0, 379.0, 380.0, 404.0]","[12.578081488760393, 0.64031139786187385, 0.54021933476713446, 0.0074987924845908984, 0.02904466026116231, 10.893471776953421, 0.60652984061650062, 3.0737861252780552, 14.258095556115807]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
1302.02478224,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[270.56987731145517, 1780.2577028491692, 66.28207243806601, 55.921005309362286, 1475.9320631103301, 62.785161978740533, 318.18411369080741, 1321.9264782676801, 1302.024782244712]",405,"[406.0, 430.0, 429.0, 428.0, 404.0, 379.0, 380.0, 381.0, 405.0]","[2.6138135092637222, 17.198003265979064, 0.64031139786187385, 0.54021933476713446, 14.258095556115807, 0.60652984061650062, 3.0737861252780552, 12.770339852621845, 12.578081488760393]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
270.569877311,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[39.943657590076768, 4.4080772665502357, 1780.2577028491692, 66.28207243806601, 1302.024782244712, 318.18411369080741, 1321.9264782676801, 82.703502331835509, 270.56987731145517]",406,"[407.0, 431.0, 430.0, 429.0, 405.0, 380.0, 381.0, 382.0, 406.0]","[0.38587174912366662, 0.042583793967295058, 17.198003265979064, 0.64031139786187385, 12.578081488760393, 3.0737861252780552, 12.770339852621845, 0.79894899538110309, 2.6138135092637222]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
39.9436575901,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[143.59460236111283, 1585.7452347936121, 4.4080772665502357, 1780.2577028491692, 270.56987731145517, 1321.9264782676801, 82.703502331835509, 1.990561393999379e-08, 39.943657590076768]",407,"[408.0, 432.0, 431.0, 430.0, 406.0, 381.0, 382.0, 383.0, 407.0]","[1.3871814380755487, 15.318934827999923, 0.042583793967295058, 17.198003265979064, 2.6138135092637222, 12.770339852621845, 0.79894899538110309, 1.9229621251094552e-10, 0.38587174912366662]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
143.594602361,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[1070.4715715983868, 4.0059334567731231, 1585.7452347936121, 4.4080772665502357, 39.943657590076768, 82.703502331835509, 1.990561393999379e-08, 1359.1987905201763, 143.59460236111283]",408,"[409.0, 433.0, 432.0, 431.0, 407.0, 382.0, 383.0, 384.0, 408.0]","[10.341184624575988, 0.038698923511252994, 15.318934827999923, 0.042583793967295058, 0.38587174912366662, 0.79894899538110309, 1.9229621251094552e-10, 13.130405334615341, 1.3871814380755487]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
1070.4715716,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[1070.4715715983868, 1070.4715715983868, 4.0059334567731231, 1585.7452347936121, 143.59460236111283, 1.990561393999379e-08, 1359.1987905201763, 127.72562554103794, 1070.4715715983868]",409,"[409.0, 409.0, 433.0, 432.0, 408.0, 383.0, 384.0, 385.0, 409.0]","[-100.0, -100.0, 0.038698923511252994, 15.318934827999923, 1.3871814380755487, 1.9229621251094552e-10, 13.130405334615341, 1.2338807587735496, 10.341184624575988]","[-1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
18.6743805803,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[757.83416398726058, 0.011477907572937132, 1387.0674373084516, 115.43564236070856, 18.674380580276836, 18.674380580276836, 20.352440542960423, 46.646304202335017, 18.674380580276836]",410,"[411.0, 436.0, 435.0, 434.0, 410.0, 410.0, 386.0, 387.0, 410.0]","[7.3209819041730322, 0.00011088118962218748, 13.399627637496613, 1.1151545931538971, -100.0, -100.0, 0.1966127366663237, 0.45062200305815958, 0.18040200455009472]","[1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0]"
757.834163987,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[35.012335598561904, 3878.0752515651529, 0.011477907572937132, 1387.0674373084516, 18.674380580276836, 20.352440542960423, 46.646304202335017, 2685.9185672356148, 757.83416398726058]",411,"[412.0, 437.0, 436.0, 435.0, 410.0, 386.0, 387.0, 388.0, 411.0]","[0.3382332012999798, 37.463761979734436, 0.00011088118962218748, 13.399627637496613, 0.18040200455009472, 0.1966127366663237, 0.45062200305815958, 25.947050372282828, 7.3209819041730322]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
35.0123355986,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[2486.2894416800473, 184.3072774692576, 3878.0752515651529, 0.011477907572937132, 757.83416398726058, 46.646304202335017, 2685.9185672356148, 323.81511644261735, 35.012335598561904]",412,"[413.0, 438.0, 437.0, 436.0, 411.0, 387.0, 388.0, 389.0, 412.0]","[24.018552971151195, 1.7804822047881643, 37.463761979734436, 0.00011088118962218748, 7.3209819041730322, 0.45062200305815958, 25.947050372282828, 3.1281838698076121, 0.3382332012999798]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
2486.28944168,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[85.64297687838588, 65.151208974018857, 184.3072774692576, 3878.0752515651529, 35.012335598561904, 2685.9185672356148, 323.81511644261735, 21.439002453643546, 2486.2894416800473]",413,"[414.0, 439.0, 438.0, 437.0, 412.0, 388.0, 389.0, 390.0, 413.0]","[0.82734549818568526, 0.62938680334000596, 1.7804822047881643, 37.463761979734436, 0.3382332012999798, 25.947050372282828, 3.1281838698076121, 0.20710936041844122, 24.018552971151195]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
85.6429768784,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[1962.5289859664883, 230.43123918746176, 65.151208974018857, 184.3072774692576, 2486.2894416800473, 323.81511644261735, 21.439002453643546, 1775.6880640161339, 85.64297687838588]",414,"[415.0, 440.0, 439.0, 438.0, 413.0, 389.0, 390.0, 391.0, 414.0]","[18.958816948924511, 2.2260581699981712, 0.62938680334000596, 1.7804822047881643, 24.018552971151195, 3.1281838698076121, 0.20710936041844122, 17.153858722495773, 0.82734549818568526]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
1962.52898597,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[354.86106853855455, 380.17518013987257, 230.43123918746176, 65.151208974018857, 85.64297687838588, 21.439002453643546, 1775.6880640161339, 0.72750807087923386, 1962.5289859664883]",415,"[416.0, 441.0, 440.0, 439.0, 414.0, 390.0, 391.0, 392.0, 415.0]","[3.4281002160123464, 3.672644684657576, 2.2260581699981712, 0.62938680334000596, 0.82734549818568526, 0.20710936041844122, 17.153858722495773, 0.0070280196844440968, 18.958816948924511]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
354.861068539,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[999.7696362656327, 2.3965161603232281, 380.17518013987257, 230.43123918746176, 1962.5289859664883, 1775.6880640161339, 0.72750807087923386, 0.080286944129292007, 354.86106853855455]",416,"[417.0, 442.0, 441.0, 440.0, 415.0, 391.0, 392.0, 393.0, 416.0]","[9.6581755788531485, 0.023151307075514119, 3.672644684657576, 2.2260581699981712, 18.958816948924511, 17.153858722495773, 0.0070280196844440968, 0.00077560407414118489, 3.4281002160123464]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
999.769636266,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[26.769637458810539, 429.46514435993618, 2.3965161603232281, 380.17518013987257, 354.86106853855455, 0.72750807087923386, 0.080286944129292007, 1138.1025851730531, 999.7696362656327]",417,"[418.0, 443.0, 442.0, 441.0, 416.0, 392.0, 393.0, 394.0, 417.0]","[0.25860543207249631, 4.1488055035547395, 0.023151307075514119, 3.672644684657576, 3.4281002160123464, 0.0070280196844440968, 0.00077560407414118489, 10.994527334722445, 9.6581755788531485]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
26.7696374588,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[208.1105669901855, 2117.5946120586304, 429.46514435993618, 2.3965161603232281, 999.7696362656327, 0.080286944129292007, 1138.1025851730531, 1775.9655763919134, 26.769637458810539]",418,"[419.0, 444.0, 443.0, 442.0, 417.0, 393.0, 394.0, 395.0, 418.0]","[2.0104315263199846, 20.456813075949096, 4.1488055035547395, 0.023151307075514119, 9.6581755788531485, 0.00077560407414118489, 10.994527334722445, 17.156539603324077, 0.25860543207249631]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
208.11056699,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[447.54336456582814, 5447.8675486384655, 2117.5946120586304, 429.46514435993618, 26.769637458810539, 1138.1025851730531, 1775.9655763919134, 29.141846016294572, 208.1105669901855]",419,"[420.0, 445.0, 444.0, 443.0, 418.0, 394.0, 395.0, 396.0, 419.0]","[4.3234483598369691, 52.62858503246914, 20.456813075949096, 4.1488055035547395, 0.25860543207249631, 10.994527334722445, 17.156539603324077, 0.28152191795760206, 2.0104315263199846]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
447.543364566,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[9.1856795342445583, 1125.871746549356, 5447.8675486384655, 2117.5946120586304, 208.1105669901855, 1775.9655763919134, 29.141846016294572, 95.820618463888835, 447.54336456582814]",420,"[421.0, 446.0, 445.0, 444.0, 419.0, 395.0, 396.0, 397.0, 420.0]","[0.088737347619587445, 10.876372529235937, 52.62858503246914, 20.456813075949096, 2.0104315263199846, 17.156539603324077, 0.28152191795760206, 0.92566559698223239, 4.3234483598369691]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
