,actions,next_state,start,positions,rewards,possibility
218.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[2943.0, 7058.0, 3724.0, 1473.0, 872.0, 491.0, 258.0, 0.0, 218.0]",22,"[23.0, 33.0, 32.0, 31.0, 21.0, 11.0, 12.0, 13.0, 22.0]","[12.935268715593306, 31.02178953267331, 16.367971694485039, 6.4742272572439479, 3.8326722120276462, 2.1580757524146494, 1.1339787049347851, 0.0, 0.95816805300691155]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
2943.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[652.0, 839.0, 7058.0, 3724.0, 218.0, 258.0, 0.0, 989.0, 2943.0]",23,"[24.0, 34.0, 33.0, 32.0, 22.0, 12.0, 13.0, 14.0, 23.0]","[2.8657136264243408, 3.6876284241871504, 31.02178953267331, 16.367971694485039, 0.95816805300691155, 1.1339787049347851, 0.0, 4.3469183689166764, 12.935268715593306]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
652.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[464.0, 1576.0, 839.0, 7058.0, 2943.0, 0.0, 989.0, 84.0, 652.0]",24,"[25.0, 35.0, 34.0, 33.0, 23.0, 13.0, 14.0, 15.0, 24.0]","[2.0394035623633346, 6.9269396859582226, 3.6876284241871504, 31.02178953267331, 12.935268715593306, 0.0, 4.3469183689166764, 0.36920236904853471, 2.8657136264243408]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
464.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[711.0, 1469.0, 1576.0, 839.0, 652.0, 989.0, 84.0, 75.0, 464.0]",25,"[26.0, 36.0, 35.0, 34.0, 24.0, 14.0, 15.0, 16.0, 25.0]","[3.1250343380179548, 6.4566461920511609, 6.9269396859582226, 3.6876284241871504, 2.8657136264243408, 4.3469183689166764, 0.36920236904853471, 0.32964497236476314, 2.0394035623633346]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
711.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[9717.0, 5491.0, 1469.0, 1576.0, 464.0, 84.0, 75.0, 5004.0, 711.0]",26,"[27.0, 37.0, 36.0, 35.0, 25.0, 15.0, 16.0, 17.0, 26.0]","[42.708802619578712, 24.134407243398858, 6.4566461920511609, 6.9269396859582226, 2.0394035623633346, 0.36920236904853471, 0.32964497236476314, 21.993912556176998, 3.1250343380179548]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
9717.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[0.0, 9717.0, 5491.0, 1469.0, 711.0, 75.0, 5004.0, 6345.0, 9717.0]",27,"[28.0, 27.0, 37.0, 36.0, 26.0, 16.0, 17.0, 18.0, 27.0]","[0.0, -100.0, 24.134407243398858, 6.4566461920511609, 3.1250343380179548, 0.32964497236476314, 21.993912556176998, 27.887964662058963, 42.708802619578712]","[1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
0.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[0.0, 0.0, 0.0, 5491.0, 9717.0, 5004.0, 6345.0, 0.0, 0.0]",28,"[28.0, 28.0, 28.0, 37.0, 27.0, 17.0, 18.0, 28.0, 28.0]","[-100.0, -100.0, -100.0, 24.134407243398858, 42.708802619578712, 21.993912556176998, 27.887964662058963, -100.0, 0.0]","[-1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0]"
4144.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[2492.0, 4144.0, 4144.0, 4144.0, 4144.0, 4144.0, 4583.0, 1603.0, 4144.0]",29,"[30.0, 29.0, 29.0, 29.0, 29.0, 29.0, 19.0, 20.0, 29.0]","[10.95300361510653, -100.0, -100.0, -100.0, -100.0, -100.0, 20.143505444636126, 7.0456118760095379, 18.213983539727714]","[1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0]"
2492.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[1473.0, 443.0, 2492.0, 2492.0, 4144.0, 4583.0, 1603.0, 872.0, 2492.0]",30,"[31.0, 38.0, 30.0, 30.0, 29.0, 19.0, 20.0, 21.0, 30.0]","[6.4742272572439479, 1.947102970101201, -100.0, -100.0, 18.213983539727714, 20.143505444636126, 7.0456118760095379, 3.8326722120276462, 10.95300361510653]","[1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
1473.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[3724.0, 545.0, 443.0, 1473.0, 2492.0, 1603.0, 872.0, 218.0, 1473.0]",31,"[32.0, 39.0, 38.0, 31.0, 30.0, 20.0, 21.0, 22.0, 31.0]","[16.367971694485039, 2.395420132517279, 1.947102970101201, -100.0, 10.95300361510653, 7.0456118760095379, 3.8326722120276462, 0.95816805300691155, 6.4742272572439479]","[1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
3724.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[7058.0, 0.0, 545.0, 443.0, 1473.0, 872.0, 218.0, 2943.0, 3724.0]",32,"[33.0, 40.0, 39.0, 38.0, 31.0, 21.0, 22.0, 23.0, 32.0]","[31.02178953267331, 0.0, 2.395420132517279, 1.947102970101201, 6.4742272572439479, 3.8326722120276462, 0.95816805300691155, 12.935268715593306, 16.367971694485039]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
7058.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[839.0, 1285.0, 0.0, 545.0, 3724.0, 218.0, 2943.0, 652.0, 7058.0]",33,"[34.0, 41.0, 40.0, 39.0, 32.0, 22.0, 23.0, 24.0, 33.0]","[3.6876284241871504, 5.6479171931829422, 0.0, 2.395420132517279, 16.367971694485039, 0.95816805300691155, 12.935268715593306, 2.8657136264243408, 31.02178953267331]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
839.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[1576.0, 124.0, 1285.0, 0.0, 7058.0, 2943.0, 652.0, 464.0, 839.0]",34,"[35.0, 42.0, 41.0, 40.0, 33.0, 23.0, 24.0, 25.0, 34.0]","[6.9269396859582226, 0.54501302097640836, 5.6479171931829422, 0.0, 31.02178953267331, 12.935268715593306, 2.8657136264243408, 2.0394035623633346, 3.6876284241871504]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
