,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
11,2.455,146.982877814,97.9868181912,91.85452557,61.2375212171,54.4267465622,48.9718359599,52.5889284674,42.0000291638,2.455,2.455,49.1,244.814755147,183.831024261,133.672184319,113.076555628,91.8761092291,81.6377562409,2.455,66.8037209295,91.8659697521,163.242774771,86.4765002982,146.982216921,122.424019324,105.032063391,91.8630111187,34.9841080939,2.455,2.455,2.455,133.688966627,77.3575531131,69.9898384731,97.9466508829,97.9828694395,81.6299673543,2.455,69.9767631575,73.4961048089,97.9667234294,77.360101574,86.4814063801,69.9626635601,42.0016352751,2.455,61.2202964016,58.8983959379,77.3563966265,73.5166087514
12,1.29,51.470315006,77.245505453,51.4710959706,48.2834483987,42.8889253256,30.95442536,32.1729896661,23.4003948179,1.29,1.29,128.63993244,25.8,128.666760678,96.6212903727,70.2670463574,59.4255903086,48.2693005979,1.29,24.9526770719,42.9047091441,55.1986545803,77.2589950545,40.6569472958,77.2614662687,64.333391813,55.192525609,42.8906643431,1.29,1.29,1.29,59.4223042685,70.2557554407,40.6543017849,38.6197946916,51.473088884,51.4708389107,1.29,1.29,59.4075134309,36.7735522779,48.2611761998,45.4490368338,42.8979330247,11.3813575955,1.29,8.59881366568,48.2714430186,32.1773157226,40.6551784923
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,4.945,246.615631093,269.330008527,123.30471467,296.179336952,185.020484174,134.573382727,148.071780087,109.640381732,4.945,4.945,269.25008206,370.381613095,493.167462623,98.9,580.38582578,370.339452825,269.308448882,4.945,105.90701916,128.721770197,148.067435511,174.218454193,185.041464306,269.300808539,185.037832471,185.051056337,77.9067546949,4.945,4.945,4.945,164.411919496,185.030940632,227.752507757,246.655620095,211.560395975,211.562165514,4.945,134.588638502,174.223825024,197.351225538,211.598652658,148.061363044,148.060052429,123.345467348,4.945,42.9692321582,118.640396101,174.214093379,185.041431289
15,0.42,17.9713396333,20.9454217552,14.791844117,16.7605225196,25.1493098853,11.9702795075,13.9674743058,9.30993858564,0.42,0.42,19.3450726533,22.8776430001,31.4553842514,49.2946505213,8.4,50.3483348766,31.4470007616,0.42,9.31002936457,10.4745743392,10.472890812,13.9667174004,14.7939105385,16.7587398883,25.1495719873,15.7153899618,14.793889418,0.42,0.42,0.42,11.9707195682,13.9657978183,15.7142572455,17.9673382631,22.8700247349,5.58649925087,0.42,8.6713373678,13.9642191433,15.7154250114,16.7560188382,19.3427966514,9.31056275727,10.4759721371,0.42,3.31185268953,9.67140602476,13.9638914967,14.7950200731
16,0.375,13.2090555779,16.0425403769,17.270680326,16.044523782,8.99649595364,11.8170361776,14.0333496192,5.23184681984,0.375,0.375,14.0340289047,17.2748809037,20.41757486,28.0843872213,44.9538704256,7.5,37.4065572729,0.375,6.61639273743,8.31384480832,8.98161852482,10.6863851257,9.35141691865,14.0316664018,16.0391957193,24.9351262072,7.48287324073,0.375,0.375,0.375,9.35279429822,11.2315266293,11.8173078574,14.0302826976,17.2707391143,13.2086651129,0.375,4.78614700521,10.6889378242,11.2264961938,13.2093367936,14.9639165278,12.4719011049,9.76196829718,0.375,1.27825153228,10.2240468925,10.6885673713,12.469530549
17,25.02,788.385712435,936.427194285,936.18438878,1247.7935013,453.774942319,576.137211607,788.520361669,468.194619242,25.02,25.02,832.006786618,936.199923224,1070.34115422,1362.60816805,1873.34275965,2495.76550125,500.4,25.02,405.655830952,428.028329251,468.176927416,576.248603767,651.359456694,599.195677013,831.886452833,831.98106148,713.057700051,25.02,25.02,25.02,499.223375081,576.201839756,599.212031235,680.880341549,749.160694049,384.009224873,25.02,25.02,599.253724854,554.69387627,623.968698549,651.453751039,516.656590332,208.362263103,25.02,348.973617017,554.737610051,535.951833863,576.309585567
18,31.725,31.725,31.725,31.725,31.725,31.725,31.725,31.725,1117.64022075,31.725,31.725,31.725,31.725,31.725,31.725,31.725,31.725,31.725,634.5,486.964805082,542.780884786,593.587743601,703.408956783,791.174864188,791.361358095,863.335189256,1054.96703017,499.967844306,31.725,31.725,31.725,613.588718063,413.748662515,679.564498298,791.360652137,904.191876561,442.610817942,31.725,422.053724983,593.642984791,632.955724119,679.597765265,761.145744209,703.467210094,268.068776782,31.725,442.561605989,593.722594143,388.372215758,678.42482345
19,22.915,334.563839896,415.644408181,415.577588608,490.73498581,443.15303055,360.999906643,380.99025406,291.919103649,22.915,22.915,623.546747495,443.248523336,549.756366336,490.77034258,507.950768784,404.305705542,371.52691312,351.735177571,458.3,22.915,22.915,22.915,22.915,22.915,22.915,22.915,22.915,22.915,22.915,22.915,22.915,22.915,22.915,22.915,22.915,22.915,22.915,22.915,22.915,22.915,22.915,22.915,22.915,22.915,22.915,22.915,22.915,22.915,22.915
20,8.015,342.890187176,319.743585351,266.50462583,228.448357201,208.644870039,145.36421934,133.279377329,129.948446016,8.015,8.015,299.920874771,266.574607589,252.537426285,208.635993555,199.88979364,177.69457637,137.116189406,137.128094297,8.015,160.3,799.302268644,600.240357208,436.455939008,342.905803827,299.949548465,252.609859002,67.682769978,8.015,8.015,8.015,282.322591113,319.847459728,399.687032479,342.875393765,282.356749208,252.564605032,8.015,165.506437783,299.91302157,369.147390105,319.809364114,240.031286214,228.449304189,70.6737053029,8.015,177.703814453,299.932314155,299.892875376,266.490935977
